freq_khz,importance
0.0,2.867511545289987e-07
6.688963210702341,8.222026294668398e-08
13.377926421404682,3.584169420564279e-07
20.066889632107024,7.663657710349475e-07
26.755852842809364,1.9008923717401984e-07
33.44481605351171,7.081607686281371e-07
40.13377926421405,8.321312547125032e-08
46.82274247491639,2.1463979920093912e-07
53.51170568561873,1.287017313990919e-07
60.20066889632107,1.1107502718939357e-07
66.88963210702342,1.7189741001848803e-07
73.57859531772574,1.4779511563274169e-07
80.2675585284281,1.188306914116288e-07
86.95652173913044,5.442518312519682e-07
93.64548494983278,2.533420623724966e-07
100.33444816053512,1.6831817403980704e-06
107.02341137123746,5.464356423911555e-07
113.7123745819398,1.6211014421369502e-06
120.40133779264214,6.640916878303267e-07
127.09030100334449,1.2971194093030102e-06
133.77926421404683,7.749567107260516e-07
140.46822742474916,1.0817021344967408e-06
147.15719063545149,1.9425664848072628e-07
153.84615384615384,3.387733161958421e-07
160.5351170568562,6.114903441480539e-07
167.22408026755852,4.881941577683165e-07
173.91304347826087,5.145915402052374e-07
180.6020066889632,5.545527863010592e-07
187.29096989966555,5.615735296135503e-07
193.97993311036788,1.580724378159892e-06
200.66889632107024,3.0329720596667523e-07
207.3578595317726,2.691392694781043e-07
214.04682274247492,1.2123973426717098e-07
220.73578595317724,6.413928155147222e-07
227.4247491638796,1.8241563034894024e-07
234.11371237458192,1.4852845138255027e-07
240.80267558528428,5.487784299341572e-07
247.49163879598663,8.484785136437863e-07
254.18060200668899,1.9133399968272476e-07
260.8695652173913,2.428925344882143e-07
267.55852842809367,5.693182002386181e-07
274.247491638796,3.812151066750034e-07
280.9364548494983,4.51352919893592e-08
287.6254180602007,3.976473704197641e-07
294.31438127090297,1.5702861992255238e-07
301.0033444816053,1.753893136680434e-07
307.6923076923077,1.3857245628404672e-07
314.38127090301003,1.0539108247954515e-07
321.0702341137124,2.9836230601311057e-07
327.75919732441474,7.479267904013991e-07
334.44816053511704,2.2397568574037965e-05
341.1371237458194,2.071008427465296e-05
347.82608695652175,5.905624393145346e-07
354.5150501672241,7.687442691297441e-07
361.2040133779264,4.5955669913542836e-08
367.89297658862876,1.0436690442264258e-07
374.5819397993311,2.09923256373205e-07
381.2709030100334,9.529063597133371e-08
387.95986622073576,1.0529590995302645e-06
394.6488294314381,8.504224540105557e-08
401.33779264214047,7.193177725590546e-08
408.0267558528428,7.228807705403957e-08
414.7157190635452,9.15316837047418e-08
421.40468227424753,6.781671325883094e-08
428.09364548494983,2.1702184171192211e-07
434.7826086956522,1.6047478141559196e-07
441.4715719063545,1.2150777855948386e-07
448.16053511705684,1.1925882054590816e-07
454.8494983277592,1.8230269792358292e-07
461.53846153846155,1.393082278414923e-07
468.22742474916384,3.830862060351663e-07
474.9163879598662,2.0684133848827455e-07
481.60535117056855,1.4118979042563492e-07
488.2943143812709,1.2899770529528007e-07
494.98327759197326,1.033740007205002e-06
501.6722408026756,3.506158888825908e-07
508.36120401337797,1.6521240560301588e-07
515.0501672240803,1.4786123742535834e-07
521.7391304347826,1.77551668306018e-07
528.428093645485,1.2647709651517333e-07
535.1170568561873,5.610379285877254e-07
541.8060200668896,2.853365234993186e-07
548.494983277592,6.873469264248356e-07
555.1839464882943,6.721023378950434e-07
561.8729096989966,1.9339883243729185e-07
568.561872909699,3.6952212644172776e-07
575.2508361204013,7.18737542278373e-07
581.9397993311037,1.4015549307356113e-06
588.6287625418059,3.8119885622378407e-07
595.3177257525084,5.749370791934169e-07
602.0066889632106,1.0704084266815359e-06
608.6956521739131,1.3202004777461744e-06
615.3846153846154,1.2730501750925547e-07
622.0735785953178,2.827858594787415e-07
