frequency_khz,mean_abs_shap
0.0,3.0140288150618907e-07
6.688963210702341,1.5079710451274348e-07
13.377926421404682,3.093531301546674e-07
20.066889632107024,2.707136079448398e-07
26.755852842809364,3.9073767772858217e-07
33.44481605351171,8.500476588137203e-07
40.13377926421405,1.4569688458680858e-07
46.82274247491639,8.872124057083279e-08
53.51170568561873,2.2861746603311887e-07
60.20066889632107,1.8444242047029365e-07
66.88963210702342,2.0049012915729048e-07
73.57859531772574,2.6153689633312886e-07
80.2675585284281,3.4220386824102707e-07
86.95652173913044,3.9459185763827114e-07
93.64548494983278,7.034376249998624e-07
100.33444816053512,6.468839619563846e-07
107.02341137123746,2.617898780433052e-07
113.7123745819398,2.7616251248569035e-07
120.40133779264214,2.4560678864851255e-07
127.09030100334449,5.445777876839272e-07
133.77926421404683,5.068477966395224e-07
140.46822742474916,3.186877245568013e-07
147.15719063545149,3.05546545757973e-07
153.84615384615384,3.174577311474212e-07
160.5351170568562,3.4124872214892246e-07
167.22408026755852,3.9931708392059766e-07
173.91304347826087,2.127410555087266e-07
180.6020066889632,6.078781839493252e-07
187.29096989966555,5.927853413129352e-07
193.97993311036788,1.3942481214873109e-06
200.66889632107024,2.2981880586303966e-07
207.3578595317726,3.194575736617965e-07
214.04682274247492,1.5410850676254387e-07
220.73578595317724,7.566308555608153e-07
227.4247491638796,1.7075576548406736e-07
234.11371237458192,1.6318511742211187e-07
240.80267558528428,2.741913046105456e-07
247.49163879598663,5.98972064128318e-07
254.18060200668899,4.7015977363284435e-07
260.8695652173913,9.275735206904907e-08
267.55852842809367,5.503748633936983e-07
274.247491638796,6.455524970547364e-07
280.9364548494983,1.8147649095743128e-07
287.6254180602007,2.2275542312216201e-07
294.31438127090297,5.278629994591673e-07
301.0033444816053,1.358652210173063e-07
307.6923076923077,2.145757443698018e-06
314.38127090301003,1.9080763803008357e-07
321.0702341137124,3.265209917490567e-07
327.75919732441474,3.221617283810954e-07
334.44816053511704,2.2127140879388142e-05
341.1371237458194,2.0505507182637045e-05
347.82608695652175,1.9050015788308858e-07
354.5150501672241,1.558875455800722e-07
361.2040133779264,1.4764679596667484e-07
367.89297658862876,1.8004240834951077e-07
374.5819397993311,1.36890804784104e-07
381.2709030100334,1.4728481952473997e-07
387.95986622073576,2.0867176041176467e-07
394.6488294314381,1.083788166515692e-07
401.33779264214047,1.00579664365216e-07
408.0267558528428,1.9314234213209846e-07
414.7157190635452,1.6295741930056263e-07
421.40468227424753,1.423106401271872e-07
428.09364548494983,1.0322830733015377e-07
434.7826086956522,4.9140539784127574e-08
441.4715719063545,9.6705950303728e-08
448.16053511705684,1.403623757695207e-07
454.8494983277592,9.888762705060686e-08
461.53846153846155,2.274023590985511e-07
