freq_bin,importance,hz
41,0.7609637,4100.0
42,0.71979535,4200.0
40,0.7190933,4000.0
43,0.6773291,4300.0
39,0.6772231,3900.0
38,0.63535273,3800.0
44,0.634863,4400.0
45,0.59130293,4500.0
37,0.59031373,3700.0
120,0.57597095,12000.0
219,0.56623393,21900.0
119,0.55279154,11900.0
220,0.5499187,22000.0
121,0.54663134,12100.0
218,0.54560757,21800.0
250,0.5408002,25000.0
221,0.53360325,22100.0
118,0.5296124,11800.0
249,0.52837366,24900.0
251,0.52716506,25100.0
