y_true,y_pred,condition_id,sample_id,pass_order,wheel_speed,workpiece_speed,depth_of_cut,training_target_support_distance,residual,abs_residual,ae_rms,vib_rms
0.1128000020980835,0.1019552600527555,1,2.0,2.0,25.0,20.0,20.0,0.0,-0.010844742045327996,0.010844742045327996,0.4077725410461426,0.6692240834236145
0.1055999994277954,0.1033832262246585,1,3.0,3.0,25.0,20.0,20.0,0.0,-0.0022167732031369014,0.0022167732031369014,0.3787358105182647,0.6279311180114746
0.1102000027894973,0.1034897424491821,1,4.0,4.0,25.0,20.0,20.0,0.0,-0.006710260340315202,0.006710260340315202,0.4112804234027862,0.6239222884178162
0.1093999966979026,0.1034685819232004,1,5.0,5.0,25.0,20.0,20.0,0.0,-0.005931414774702201,0.005931414774702201,0.6227187514305115,0.6565287709236145
0.101000003516674,0.1039607185677043,1,6.0,6.0,25.0,20.0,20.0,0.0,0.0029607150510302938,0.0029607150510302938,0.2614400088787079,0.612747073173523
0.1084000021219253,0.1022121720158686,1,7.0,7.0,25.0,20.0,20.0,0.0,-0.0061878301060566965,0.0061878301060566965,0.5452884435653687,0.6188136339187622
0.1055999994277954,0.1024174349284248,1,8.0,8.0,25.0,20.0,20.0,0.0,-0.0031825644993705993,0.0031825644993705993,0.3768543303012848,0.6505774855613708
0.1032000035047531,0.1022234618338009,1,9.0,9.0,25.0,20.0,20.0,0.0,-0.000976541670952194,0.000976541670952194,0.3599073886871338,0.6286044120788574
0.1074000000953674,0.1009765448658205,1,10.0,10.0,25.0,20.0,20.0,0.0,-0.006423455229546904,0.006423455229546904,0.4059136807918548,0.6367881298065186
0.1098000034689903,0.1032963665170143,1,11.0,11.0,25.0,20.0,20.0,0.0,-0.006503636951976005,0.006503636951976005,0.4735048115253448,0.6098947525024414
0.1026000007987022,0.1033393043214476,1,12.0,12.0,25.0,20.0,20.0,0.0,0.0007393035227453992,0.0007393035227453992,0.2795871198177337,0.5768232345581055
0.1055999994277954,0.1011618860145592,1,13.0,13.0,25.0,20.0,20.0,0.0,-0.004438113413236203,0.004438113413236203,0.5877430438995361,0.6262593865394592
0.09740000218153,0.1019399754855698,1,14.0,14.0,25.0,20.0,20.0,0.0,0.004539973304039796,0.004539973304039796,0.5786150693893433,0.6908068060874939
0.0961999967694282,0.1027895004794815,1,15.0,15.0,25.0,20.0,20.0,0.0,0.006589503710053304,0.006589503710053304,0.5462396144866943,0.6173211336135864
0.0920000001788139,0.1012847624458255,1,16.0,16.0,25.0,20.0,20.0,0.0,0.009284762267011595,0.009284762267011595,0.534127950668335,0.6791868209838867
0.0949999988079071,0.1018881814310095,1,20.0,20.0,25.0,20.0,20.0,0.0,0.006888182623102396,0.006888182623102396,0.8067590594291687,0.6576376557350159
0.0945999994874,0.1021328163618692,1,18.0,18.0,25.0,20.0,20.0,0.0,0.007532816874469203,0.007532816874469203,0.4640048742294311,0.572094202041626
0.101000003516674,0.1008692678600461,1,19.0,19.0,25.0,20.0,20.0,0.0,-0.00013073565662789777,0.00013073565662789777,0.5631689429283142,0.6142376065254211
0.0949999988079071,0.1017123724219073,1,17.0,17.0,25.0,20.0,20.0,0.0,0.006712373614000192,0.006712373614000192,0.7756386399269104,0.6137555837631226
0.0993999987840652,0.0962655570502843,2,1.0,21.0,25.0,40.0,30.0,0.0,-0.003134441733780899,0.003134441733780899,0.6211894750595093,0.8899459838867188
0.0920000001788139,0.0888243679630696,2,2.0,22.0,25.0,40.0,30.0,0.0,-0.003175632215744309,0.003175632215744309,0.5441516041755676,0.9544793963432312
0.0901999995112419,0.0904594838618433,2,3.0,23.0,25.0,40.0,30.0,0.0,0.0002594843506013994,0.0002594843506013994,0.5023753046989441,1.0066592693328855
0.0898000001907348,0.0962929165780905,2,4.0,24.0,25.0,40.0,30.0,0.0,0.006492916387355704,0.006492916387355704,0.6576296091079712,0.9334322810173036
0.0891999974846839,0.0899865481540488,2,5.0,25.0,25.0,40.0,30.0,0.0,0.0007865506693649077,0.0007865506693649077,0.6602761149406433,0.9275942444801332
0.0939999967813491,0.08746490785323,2,6.0,26.0,25.0,40.0,30.0,0.0,-0.006535088928119104,0.006535088928119104,0.5138053894042969,0.9974756240844728
0.0900000035762786,0.0908953624762158,2,7.0,27.0,25.0,40.0,30.0,0.0,0.0008953588999371931,0.0008953588999371931,0.4444287419319153,0.964125394821167
0.0883999988436698,0.0882550843478391,2,8.0,28.0,25.0,40.0,30.0,0.0,-0.00014491449583069194,0.00014491449583069194,0.5115567445755005,0.8923853635787964
0.0869999974966049,0.0835844198273563,2,9.0,29.0,25.0,40.0,30.0,0.0,-0.003415577669248604,0.003415577669248604,0.3838987648487091,0.9175358414649964
0.0901999995112419,0.0895978025434102,2,10.0,30.0,25.0,40.0,30.0,0.0,-0.000602196967831703,0.000602196967831703,0.4717346131801605,0.9415577054023744
0.0828000083565712,0.0843440679333354,2,11.0,31.0,25.0,40.0,30.0,0.0,0.0015440595767642062,0.0015440595767642062,0.5133229494094849,0.8530291318893433
0.0856000036001205,0.0847597019091959,2,12.0,32.0,25.0,40.0,30.0,0.0,-0.0008403016909245969,0.0008403016909245969,0.4444083571434021,0.799155056476593
0.0865999981760978,0.0859521843969913,2,13.0,33.0,25.0,40.0,30.0,0.0,-0.0006478137791064986,0.0006478137791064986,0.4946015775203705,0.9114819765090942
0.0803999975323677,0.0850102635968666,2,14.0,34.0,25.0,40.0,30.0,0.0,0.004610266064498894,0.004610266064498894,0.5083960890769958,0.8495052456855774
0.0832000002264976,0.0838441511940633,2,15.0,35.0,25.0,40.0,30.0,0.0,0.0006441509675657042,0.0006441509675657042,0.4469038546085357,0.9084535837173462
0.0872000008821487,0.0833181491565542,2,16.0,36.0,25.0,40.0,30.0,0.0,-0.0038818517255945068,0.0038818517255945068,0.6069693565368652,0.8260977268218994
0.0839999988675117,0.082318666646373,2,17.0,37.0,25.0,40.0,30.0,0.0,-0.0016813322211386983,0.0016813322211386983,0.6115447282791138,0.7914026379585266
0.0891999974846839,0.0837501219066977,2,18.0,38.0,25.0,40.0,30.0,0.0,-0.0054498755779861935,0.0054498755779861935,0.6607396602630615,0.9093062877655028
0.0939999967813491,0.084782217033111,2,19.0,39.0,25.0,40.0,30.0,0.0,-0.009217779748238106,0.009217779748238106,1.0206754207611084,1.0550551414489746
0.0922000035643577,0.0836418766642841,2,20.0,40.0,25.0,40.0,30.0,0.0,-0.008558126900073598,0.008558126900073598,0.9687872529029846,0.9913682341575624
0.1052000001072883,0.0971150930115581,3,1.0,41.0,25.0,60.0,40.0,0.0,-0.008084907095730204,0.008084907095730204,0.4949079155921936,0.9027889370918274
0.1044000014662742,0.1035916398894557,3,2.0,42.0,25.0,60.0,40.0,0.0,-0.0008083615768185032,0.0008083615768185032,0.5791754126548767,0.8808071613311768
0.0997999981045723,0.1021660259887405,3,3.0,43.0,25.0,60.0,40.0,0.0,0.0023660278841682036,0.0023660278841682036,0.4626699984073639,0.9673696160316468
0.1037999987602233,0.0995930717122318,3,4.0,44.0,25.0,60.0,40.0,0.0,-0.004206927047991499,0.004206927047991499,0.4797457456588745,0.9177653789520264
0.0997999981045723,0.0992589980012072,3,5.0,45.0,25.0,60.0,40.0,0.0,-0.0005410001033650941,0.0005410001033650941,0.4907969236373901,0.9012486338615416
0.1011999994516372,0.0996193657256582,3,6.0,46.0,25.0,60.0,40.0,0.0,-0.001580633725978997,0.001580633725978997,0.4174902141094208,0.8748007416725159
