model,config,seed,fold,repeat,mae,mse,r2
ResNetAECNN,ae_spec,46,0,0,0.008057128638029099,7.84125440986827e-05,-1.103365421295166
ResNetAECNN,ae_spec,46,1,0,0.04546733200550079,0.00210758438333869,-110.83726501464844
ResNetAECNN,ae_spec,46,2,0,0.0265604667365551,0.0007567129796370864,-6.405258655548096
ResNetAECNN,ae_spec,46,3,0,0.008210842497646809,0.00011260481551289558,0.013239145278930664
ResNetAECNN,ae_spec,46,4,0,0.019977964460849762,0.00043238577200099826,-13.565510749816895
ResNetAECNN,ae_spec,46,5,0,0.0053630247712135315,4.0158163756132126e-05,0.22982901334762573
ResNetAECNN,ae_spec,46,6,0,0.25045955181121826,0.06303810328245163,-363.54827880859375
ResNetAECNN,ae_spec,46,7,0,0.15558218955993652,0.024346085265278816,-201.99147033691406
ResNetAECNN,ae_spec,46,8,0,0.03530966490507126,0.001645320444367826,-21.525957107543945
ResNetAECNN,ae_spec,46,9,0,0.03131071850657463,0.0014871301827952266,-23.639142990112305
ResNetAECNN,ae_spec,46,10,0,0.015585638582706451,0.00037319230614230037,-12.751850128173828
ResNetAECNN,ae_spec,46,11,0,0.020901445299386978,0.0005339777562767267,-7.780506134033203
ResNetAECNN,ae_spec,46,12,0,0.011861351318657398,0.00019342833547852933,-2.3769848346710205
ResNetAECNN,ae_spec,46,13,0,0.006494536995887756,6.202534132171422e-05,-1.906583547592163
ResNetAECNN,ae_spec,46,14,0,0.0347248874604702,0.0012795348884537816,-37.55832290649414
ResNetAECNN,ae_spec,46,15,0,0.009112950414419174,0.0002104512823279947,-3.037327289581299
