feature,mean_abs_shap
vib_y_crest_factor,0.026084370645948027
vib_z_crest_factor,0.015514906743214428
vib_x_skewness,0.012739112323424753
vib_x_rms,0.0061382668832879765
workpiece_speed,0.0037747179193418044
vib_z_skewness,0.002627736488113697
vib_x_kurtosis,0.0024279388602280716
vib_x_crest_factor,0.0018975713256012834
grinding_depth,0.0015611595888998474
vib_y_kurtosis,0.0009857450635331032
wheel_speed,0.0004792489863978443
vib_z_kurtosis,0.000457241861108558
vib_y_rms,0.0004372835580724516
vib_y_skewness,0.000402289155543465
vib_z_rms,0.00023505961587729995
