model,config,seed,fold,repeat,mae,mse,r2
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,42,0,0,0.009972578845918179,0.00014565295714419335,-2.907045364379883
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,42,1,0,0.02317836321890354,0.0008327449904754758,-43.18893814086914
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,42,2,0,0.025937488302588463,0.0007427558884955943,-6.268672943115234
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,42,3,0,0.022500434890389442,0.0006260980735532939,-4.48652458190918
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,42,4,0,0.008647413924336433,9.825909364735708e-05,-2.309993028640747
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,42,5,0,0.02707001566886902,0.0008295626612380147,-14.90971851348877
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,42,6,0,0.248429536819458,0.06189003586769104,-356.9090270996094
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,42,7,0,0.1388624906539917,0.019406333565711975,-160.80508422851562
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,42,8,0,0.07312977313995361,0.00749698281288147,-101.64061737060547
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,42,9,0,0.024246279150247574,0.000658688077237457,-9.913308143615723
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,42,10,0,0.015846163034439087,0.0003982108901254833,-13.673766136169434
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,42,11,0,0.05476569011807442,0.003601088421419263,-58.21478271484375
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,42,12,0,0.006306362338364124,7.011510751908645e-05,-0.22411060333251953
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,42,13,0,0.006061514373868704,5.1892129704356194e-05,-1.4317290782928467
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,42,14,0,0.019216900691390038,0.00042422613478265703,-11.78390121459961
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,42,15,0,0.008178813382983208,0.0001053235464496538,-1.0205419063568115
