Model,Config,Seed 1,Seed 2,Seed 3,Seed 4,Seed 5
BilinearFusion,ae-spec+vib-spec+physics+pp,0.04452186365961097,0.041875907976645976,0.04668983182637021,0.04138194367988035,0.049187195545528084
ChannelAttentionCNN,ae-spec,0.050314073712797835,0.03782296256395057,0.048010995116783306,0.03341294403071515,0.042100506456336007
RandomForest,ae-logspec+vib-logspec,0.020960630412459033,0.02047746494566927,0.02036892695774884,0.020079916523793657,0.019661111434380745
ResNetAECNN,ae-spec,0.0380442974565085,0.047485295188380405,0.04778235426056199,0.03531825871323235,0.04281123087275773
ResNetFusion,ae-spec+vib-spec+physics,0.036909561487846076,0.03796762984711677,0.039009402389638126,0.04865290643647313,0.04593119028140791
ResNetVibCNN,vib-spec,0.040429380314890295,0.028264670341741294,0.044078036095015705,0.042191954620648175,0.036908774782205
TrajectoryCNN,vib-trajectory,0.04385212596389465,0.044493301218608394,0.04501386877382174,0.045174420112743974,0.04837360209785402
