model,config,seed,fold,repeat,mae,mse,r2
ResNetVibCNN,vib_spec,45,0,0,0.011683989316225052,0.00016895747103262693,-3.5321741104125977
ResNetVibCNN,vib_spec,45,1,0,0.018400752916932106,0.0004642826388590038,-23.636783599853516
ResNetVibCNN,vib_spec,45,2,0,0.008412015624344349,8.966594032244757e-05,0.12252140045166016
ResNetVibCNN,vib_spec,45,3,0,0.03224802762269974,0.001649599289521575,-13.455510139465332
ResNetVibCNN,vib_spec,45,4,0,0.014387448318302631,0.000361294427420944,-11.170700073242188
ResNetVibCNN,vib_spec,45,5,0,0.05404489114880562,0.0032836913596838713,-61.97608184814453
ResNetVibCNN,vib_spec,45,6,0,0.21431443095207214,0.047094546258449554,-271.3469543457031
ResNetVibCNN,vib_spec,45,7,0,0.14948859810829163,0.022505277767777443,-186.64329528808594
ResNetVibCNN,vib_spec,45,8,0,0.07030247151851654,0.007667834404855967,-103.979736328125
ResNetVibCNN,vib_spec,45,9,0,0.01937023177742958,0.0004485698009375483,-6.432015895843506
ResNetVibCNN,vib_spec,45,10,0,0.018066367134451866,0.00036307802656665444,-12.379146575927734
ResNetVibCNN,vib_spec,45,11,0,0.007205896079540253,6.826069147791713e-05,-0.12245023250579834
ResNetVibCNN,vib_spec,45,12,0,0.009770510718226433,0.00011644644109765068,-1.0329899787902832
ResNetVibCNN,vib_spec,45,13,0,0.004279491491615772,4.651870403904468e-05,-1.1799237728118896
ResNetVibCNN,vib_spec,45,14,0,0.019676795229315758,0.0004237221146468073,-11.768712997436523
ResNetVibCNN,vib_spec,45,15,0,0.02341935597360134,0.0006130229448899627,-10.760318756103516
