fold,condition,logo_mae_um,nearest_input_centroid_rms_distance,median_input_centroid_rms_distance,nearest_process_parameter_distance,input_distance_spearman_rho_with_logo_mae,input_distance_spearman_p_unadjusted,input_distance_loo_rho_min,input_distance_loo_rho_max,process_distance_spearman_rho_with_logo_mae,process_distance_spearman_p_unadjusted,protocol
1,1,0.0051996683609316,0.9734762907028198,1.432828664779663,1.26491117477417,0.5117647058823529,0.04272344816333178,0.4142857142857142,0.6249999999999999,-0.2556549962824568,0.3392342001777855,"per-fold train-standardised dB-z input centroid; nearest remaining condition; canonical archived RF error; descriptive 16-condition association, no target used in score"
2,2,0.0031258860284852,0.5364471077919006,0.9258095622062683,1.2649110555648804,0.5117647058823529,0.04272344816333178,0.4142857142857142,0.6249999999999999,-0.2556549962824568,0.3392342001777855,"per-fold train-standardised dB-z input centroid; nearest remaining condition; canonical archived RF error; descriptive 16-condition association, no target used in score"
3,3,0.0095424976775646,0.58851158618927,0.990240752696991,1.2649110555648804,0.5117647058823529,0.04272344816333178,0.4142857142857142,0.6249999999999999,-0.2556549962824568,0.3392342001777855,"per-fold train-standardised dB-z input centroid; nearest remaining condition; canonical archived RF error; descriptive 16-condition association, no target used in score"
4,4,0.0078367501673078,0.7350667715072632,1.2043694257736206,1.26491117477417,0.5117647058823529,0.04272344816333178,0.4142857142857142,0.6249999999999999,-0.2556549962824568,0.3392342001777855,"per-fold train-standardised dB-z input centroid; nearest remaining condition; canonical archived RF error; descriptive 16-condition association, no target used in score"
5,5,0.0034801271631474,0.6346842050552368,0.9670066237449646,0.8944271802902222,0.5117647058823529,0.04272344816333178,0.4142857142857142,0.6249999999999999,-0.2556549962824568,0.3392342001777855,"per-fold train-standardised dB-z input centroid; nearest remaining condition; canonical archived RF error; descriptive 16-condition association, no target used in score"
6,6,0.0059919894905539,0.5339037775993347,0.7924796342849731,0.8944271802902222,0.5117647058823529,0.04272344816333178,0.4142857142857142,0.6249999999999999,-0.2556549962824568,0.3392342001777855,"per-fold train-standardised dB-z input centroid; nearest remaining condition; canonical archived RF error; descriptive 16-condition association, no target used in score"
7,7,0.1436714639378344,1.3575173616409302,1.8369266986846924,0.8944271802902222,0.5117647058823529,0.04272344816333178,0.4142857142857142,0.6249999999999999,-0.2556549962824568,0.3392342001777855,"per-fold train-standardised dB-z input centroid; nearest remaining condition; canonical archived RF error; descriptive 16-condition association, no target used in score"
8,8,0.0609419634226542,1.1742902994155884,1.5413310527801514,0.8944271802902222,0.5117647058823529,0.04272344816333178,0.4142857142857142,0.6249999999999999,-0.2556549962824568,0.3392342001777855,"per-fold train-standardised dB-z input centroid; nearest remaining condition; canonical archived RF error; descriptive 16-condition association, no target used in score"
9,9,0.0083279382425479,0.7462083101272583,1.291892409324646,0.8944271802902222,0.5117647058823529,0.04272344816333178,0.4142857142857142,0.6249999999999999,-0.2556549962824568,0.3392342001777855,"per-fold train-standardised dB-z input centroid; nearest remaining condition; canonical archived RF error; descriptive 16-condition association, no target used in score"
10,10,0.0111267516186101,0.7453012466430664,1.2086495161056519,0.8944271802902222,0.5117647058823529,0.04272344816333178,0.4142857142857142,0.6249999999999999,-0.2556549962824568,0.3392342001777855,"per-fold train-standardised dB-z input centroid; nearest remaining condition; canonical archived RF error; descriptive 16-condition association, no target used in score"
11,11,0.0080096635262314,0.6960967779159546,1.1782475709915161,0.8944271802902222,0.5117647058823529,0.04272344816333178,0.4142857142857142,0.6249999999999999,-0.2556549962824568,0.3392342001777855,"per-fold train-standardised dB-z input centroid; nearest remaining condition; canonical archived RF error; descriptive 16-condition association, no target used in score"
12,12,0.0105309519672915,0.6246330142021179,0.9013952612876892,0.8944271802902222,0.5117647058823529,0.04272344816333178,0.4142857142857142,0.6249999999999999,-0.2556549962824568,0.3392342001777855,"per-fold train-standardised dB-z input centroid; nearest remaining condition; canonical archived RF error; descriptive 16-condition association, no target used in score"
13,13,0.0123518539416558,0.6157193183898926,1.0242213010787964,1.26491117477417,0.5117647058823529,0.04272344816333178,0.4142857142857142,0.6249999999999999,-0.2556549962824568,0.3392342001777855,"per-fold train-standardised dB-z input centroid; nearest remaining condition; canonical archived RF error; descriptive 16-condition association, no target used in score"
14,14,0.0141708013304275,1.461870789527893,1.7241055965423584,1.2649110555648804,0.5117647058823529,0.04272344816333178,0.4142857142857142,0.6249999999999999,-0.2556549962824568,0.3392342001777855,"per-fold train-standardised dB-z input centroid; nearest remaining condition; canonical archived RF error; descriptive 16-condition association, no target used in score"
15,15,0.010189006497159,0.7606701850891113,1.10029137134552,1.2649110555648804,0.5117647058823529,0.04272344816333178,0.4142857142857142,0.6249999999999999,-0.2556549962824568,0.3392342001777855,"per-fold train-standardised dB-z input centroid; nearest remaining condition; canonical archived RF error; descriptive 16-condition association, no target used in score"
16,16,0.0056386484370154,0.6341372728347778,1.0023410320281982,1.26491117477417,0.5117647058823529,0.04272344816333178,0.4142857142857142,0.6249999999999999,-0.2556549962824568,0.3392342001777855,"per-fold train-standardised dB-z input centroid; nearest remaining condition; canonical archived RF error; descriptive 16-condition association, no target used in score"
