model,config,mae_mean,in_logo_only
RandomForestModel,ae_features+pp,0.0233270406439522,True
RandomForestModel,ae_features+vib_features,0.026974808462408,True
RandomForestModel,ae_features+vib_features+physics+pp,0.0537396464023864,True
RandomForestModel,ae_features+vib_features+pp,0.0229929119805463,True
RandomForestModel,ae_logspec,0.0290338653328265,True
RandomForestModel,ae_logspec+vib_logspec,0.0200084976130886,True
RandomForestModel,ae_logspec+vib_logspec+pp,0.0204806678730314,True
RandomForestModel,ae_mel,0.0403785059616245,True
RandomForestModel,ae_mel+vib_mel,0.0201155263654328,True
RandomForestModel,ae_mel+vib_mel+pp,0.0205350241585404,True
RandomForestModel,ae_spec,0.0187403341301151,True
RandomForestModel,ae_spec+vib_spec,0.0090320314360395,True
RandomForestModel,ae_spec+vib_spec+pp,0.009113384666708,True
RandomForestModel,pp,0.0153228217222561,True
RandomForestModel,vib_features,0.0254494516344533,True
RandomForestModel,vib_features+pp,0.0223381219222492,True
RandomForestModel,vib_logspec,0.0222753092862144,True
RandomForestModel,vib_mel,0.0211276959592003,True
RandomForestModel,vib_spec,0.0092060999074807,True
ResNetAECNN,ae_spec,0.022238218125127,True
ResNetFusion,ae_spec,0.0298816215329473,True
ResNetFusion,ae_spec+physics,0.0298601768064588,True
ResNetFusion,ae_spec+vib_spec,0.0144769290623768,True
ResNetFusion,ae_spec+vib_spec+physics,0.0129326837254513,True
ResNetFusion,ae_spec+vib_spec+physics+pp,0.0142446296530881,True
ResNetFusion,ae_spec+vib_spec+pp,0.0150035443424498,True
ResNetFusion,all,0.0159893204699383,True
ResNetFusion,vib_spec,0.0164901813665655,True
ResNetFusion,vib_spec+physics,0.016492544735979,True
ResNetVibCNN,vib_spec,0.0117286309567603,True
SSLResNetVibCNN,vib_spec,0.0460843828914221,True
TabTransformerRegressor,ae_features,0.03689128564439,True
TabTransformerRegressor,ae_features+physics,0.0372574686447636,True
TabTransformerRegressor,ae_features+pp,0.0197790358359817,True
TabTransformerRegressor,ae_features+vib_features,0.0225007349120493,True
TabTransformerRegressor,ae_features+vib_features+physics,0.0232801658964151,True
TabTransformerRegressor,ae_features+vib_features+physics+pp,0.0179897309258653,True
TabTransformerRegressor,ae_features+vib_features+pp,0.019051442260945,True
TabTransformerRegressor,physics+pp,0.0206502022678858,True
TabTransformerRegressor,pp,0.0185040004478161,True
TabTransformerRegressor,vib_features,0.0215029080231751,True
TabTransformerRegressor,vib_features+physics,0.023027033830456,True
TabTransformerRegressor,vib_features+pp,0.0172581344514231,True
TrajectoryAttention,ae_trajectory,0.046435780765023,True
TrajectoryAttention,ae_trajectory+vib_trajectory,0.0469092855346389,True
TrajectoryAttention,ae_trajectory+vib_trajectory+pp,0.0548820899275597,True
TrajectoryAttention,vib_trajectory,0.0471136188134551,True
TrajectoryAttention,vib_trajectory+pp,0.0474156406417023,True
TrajectoryCNN,ae_trajectory,0.0448469320544973,True
TrajectoryCNN,ae_trajectory+vib_trajectory,0.0433840698096901,True
TrajectoryCNN,ae_trajectory+vib_trajectory+pp,0.0541503178537823,True
TrajectoryCNN,vib_trajectory,0.025870934856357,True
TrajectoryCNN,vib_trajectory+pp,0.040547433309257,True
TransferFeatureMLP,ae_embed+vib_embed,0.0360159916745033,True
TransferFeatureMLP,ae_embed+vib_embed+pp,0.034565923793707,True
TransferFeatureMLP,vib_embed,0.0335257421247661,True
TransferFeatureMLP,vib_embed+pp,0.0345640206942334,True
XGBoostModel,ae_features,0.0362920562591466,True
XGBoostModel,ae_features+pp,0.0221836786929026,True
XGBoostModel,ae_features+vib_features,0.0241577123421075,True
XGBoostModel,ae_features+vib_features+physics+pp,0.0484624878086737,True
XGBoostModel,ae_features+vib_features+pp,0.0202698968176262,True
XGBoostModel,ae_spec,0.0164109032793866,True
XGBoostModel,ae_spec+vib_spec,0.0131384228419706,True
XGBoostModel,ae_spec+vib_spec+pp,0.0130681753944138,True
XGBoostModel,pp,0.0143265742168913,True
XGBoostModel,vib_features,0.0227785574659107,True
XGBoostModel,vib_features+pp,0.0182546102265618,True
XGBoostModel,vib_spec,0.0126798032891768,True
