feature,mean_abs_shap
ae_narrow_crest_factor,0.002403617801705573
vib_x_rms,0.001442008131510166
vib_x_skewness,0.0014003315388983401
vib_z_crest_factor,0.001132683104655783
vib_y_skewness,0.0011058668404765536
vib_z_rms,0.0009342994456272427
vib_z_kurtosis,0.0005307172666676788
vib_y_crest_factor,0.0005076180373481034
ae_narrow_skewness,0.0004999934628804256
vib_z_skewness,0.0004565813020750009
ae_broad_skewness,0.00037693975581839053
ae_broad_rms,0.00033934858199162807
ae_broad_crest_factor,0.00033024922431107277
vib_x_crest_factor,0.0001861558311472171
vib_y_kurtosis,0.00011959493926450253
ae_broad_kurtosis,0.00010669038647819332
ae_narrow_kurtosis,8.686009405791724e-05
vib_y_rms,5.907168124161852e-05
ae_narrow_rms,4.9325521097290894e-05
vib_x_kurtosis,1.9202115519620017e-05
