model,config,seed,fold,test_condition,mae,mse,r2
TrajectoryCNN,vib_trajectory,43,0,1,0.010292100720107555,0.0002927146852016449,-6.851879243874566
TrajectoryCNN,vib_trajectory,43,1,2,0.0602148175239563,0.0068288869224488735,-361.36927699708787
TrajectoryCNN,vib_trajectory,43,2,3,0.0113285006955266,0.00019906745001208037,-0.9480911021245928
TrajectoryCNN,vib_trajectory,43,3,4,0.009981607086956501,0.0001557186187710613,-0.3645689829081695
TrajectoryCNN,vib_trajectory,43,4,5,0.00494762696325779,3.479746010270901e-05,-0.17220017215629446
TrajectoryCNN,vib_trajectory,43,5,6,0.011777784675359726,0.00020038972434122115,-2.843162102346998
TrajectoryCNN,vib_trajectory,43,6,7,0.2615664601325989,0.06943690031766891,-400.55240109287473
TrajectoryCNN,vib_trajectory,43,7,8,0.14490535855293274,0.02111615613102913,-175.06113530317091
TrajectoryCNN,vib_trajectory,43,8,9,0.052297573536634445,0.006434212438762188,-87.09030693809986
TrajectoryCNN,vib_trajectory,43,9,10,0.10263556241989136,0.014006167650222778,-231.05765338033365
TrajectoryCNN,vib_trajectory,43,10,11,0.012729024514555931,0.00018910251674242318,-5.968281002262168
TrajectoryCNN,vib_trajectory,43,11,12,0.007527591194957495,8.784861711319536e-05,-0.4445456870491755
TrajectoryCNN,vib_trajectory,43,12,13,0.010835777036845684,0.000141015145345591,-1.46192473983896
TrajectoryCNN,vib_trajectory,43,13,14,0.058173052966594696,0.006266474723815918,-292.6546419061055
TrajectoryCNN,vib_trajectory,43,14,15,0.0071655637584626675,7.708038901910186e-05,-1.3227893459977795
TrajectoryCNN,vib_trajectory,43,15,16,0.0075992317870259285,7.208492752397433e-05,-0.38288732604287556
