pass_order,condition_id,sample_id,ae_rms,vib_rms
1,1,1,0.6046617261695147,0.6530900650726081
2,1,2,0.4077725410461426,0.6692240834236145
3,1,3,0.37873581051826477,0.6279311180114746
4,1,4,0.41128042340278625,0.6239222884178162
5,1,5,0.6227187514305115,0.6565287709236145
6,1,6,0.2614400088787079,0.612747073173523
7,1,7,0.5452884435653687,0.6188136339187622
8,1,8,0.3768543303012848,0.6505774855613708
9,1,9,0.3599073886871338,0.6286044120788574
10,1,10,0.40591368079185486,0.6367881298065186
11,1,11,0.47350481152534485,0.6098947525024414
12,1,12,0.27958711981773376,0.5768232345581055
13,1,13,0.5877430438995361,0.6262593865394592
14,1,14,0.5786150693893433,0.6908068060874939
15,1,15,0.5462396144866943,0.6173211336135864
16,1,16,0.534127950668335,0.6791868209838867
17,1,17,0.7756386399269104,0.6137555837631226
18,1,18,0.46400487422943115,0.572094202041626
19,1,19,0.5631689429283142,0.6142376065254211
20,1,20,0.8067590594291687,0.6576376557350159
21,2,1,0.6211894750595093,0.8899459838867188
22,2,2,0.5441516041755676,0.9544793963432312
23,2,3,0.5023753046989441,1.0066592693328857
24,2,4,0.6576296091079712,0.9334322810173035
25,2,5,0.6602761149406433,0.9275942444801331
26,2,6,0.5138053894042969,0.9974756240844727
27,2,7,0.4444287419319153,0.964125394821167
28,2,8,0.5115567445755005,0.8923853635787964
29,2,9,0.3838987648487091,0.9175358414649963
30,2,10,0.4717346131801605,0.9415577054023743
31,2,11,0.5133229494094849,0.8530291318893433
32,2,12,0.4444083571434021,0.799155056476593
33,2,13,0.4946015775203705,0.9114819765090942
34,2,14,0.5083960890769958,0.8495052456855774
35,2,15,0.44690385460853577,0.9084535837173462
36,2,16,0.6069693565368652,0.8260977268218994
37,2,17,0.6115447282791138,0.7914026379585266
38,2,18,0.6607396602630615,0.9093062877655029
39,2,19,1.0206754207611084,1.0550551414489746
40,2,20,0.9687872529029846,0.9913682341575623
41,3,1,0.4949079155921936,0.9027889370918274
42,3,2,0.5791754126548767,0.8808071613311768
43,3,3,0.4626699984073639,0.9673696160316467
44,3,4,0.4797457456588745,0.9177653789520264
45,3,5,0.49079692363739014,0.9012486338615417
46,3,6,0.4174902141094208,0.8748007416725159
47,3,7,0.568488359451294,1.0899466276168823
48,3,8,0.5151643753051758,0.958923876285553
49,3,9,0.6209214329719543,1.1584852933883667
50,3,10,0.6564358472824097,0.9375127553939819
51,3,11,0.5498844385147095,0.9572852253913879
52,3,12,0.7226009368896484,0.9567556381225586
53,3,13,0.6994791626930237,1.104068636894226
54,3,14,0.6144760847091675,0.9673324823379517
55,3,15,0.6896292567253113,0.9905142188072205
56,3,16,0.7098594903945923,0.9770643711090088
57,3,17,0.6606941819190979,1.0122411251068115
58,3,18,1.0015859603881836,1.027820348739624
59,3,19,0.755744457244873,1.0625931024551392
60,3,20,0.8073378801345825,1.0247691869735718
61,4,1,0.7504816651344299,1.1680203676223755
62,4,2,0.6943897008895874,1.1911818981170654
63,4,3,0.8571172952651978,1.152039885520935
64,4,4,0.7228978872299194,1.1021790504455566
65,4,5,0.8916314840316772,1.1381123065948486
66,4,6,0.8976255059242249,1.2179547548294067
67,4,7,0.8876895308494568,1.223292589187622
68,4,8,0.9374486207962036,1.0921777486801147
69,4,9,0.8671024441719055,1.1411699056625366
70,4,10,0.8749596476554871,1.1548272371292114
71,4,11,0.6458829641342163,1.0539528131484985
72,4,12,0.6897841095924377,1.1775764226913452
73,4,13,0.7646448016166687,1.110741376876831
74,4,14,0.9112411141395569,1.1355270147323608
75,4,15,0.8613956570625305,1.1269168853759766
76,4,16,0.9322985410690308,1.2539525032043457
77,4,17,0.9021424651145935,1.2445762157440186
78,4,18,0.867209792137146,1.196468472480774
79,4,19,0.8963285088539124,1.118807315826416
80,4,20,0.8146634697914124,1.1784374713897705
