wheel_speed_m_s,test_conditions,n_test,mae
25.0,1;2;3;4,79,0.008817834588263506
30.0,5;6;7;8,80,0.10882311753588989
35.0,9;10;11;12,80,0.02599335170653949
40.0,13;14;15;16,80,0.008611282896645613
