model,config,seed,fold,test_condition,mae,mse,r2
TrajectoryCNN,vib_trajectory,44,0,1,0.009540492668747902,0.00034877227153629065,-8.355587027411538
TrajectoryCNN,vib_trajectory,44,1,2,0.08237597346305847,0.010515491478145123,-556.995922762643
TrajectoryCNN,vib_trajectory,44,2,3,0.010210603475570679,0.00015743340190965682,-0.540656693322807
TrajectoryCNN,vib_trajectory,44,3,4,0.00964161567389965,0.00012823006545659155,-0.12368558628375537
TrajectoryCNN,vib_trajectory,44,4,5,0.00501757999882102,5.240873360889964e-05,-0.7654601374625061
TrajectoryCNN,vib_trajectory,44,5,6,0.016105784103274345,0.0006360010011121631,-11.197507020604395
TrajectoryCNN,vib_trajectory,44,6,7,0.24754905700683594,0.06301804631948471,-363.4322795417936
TrajectoryCNN,vib_trajectory,44,7,8,0.14405563473701477,0.020879453048110008,-173.08757449235515
TrajectoryCNN,vib_trajectory,44,8,9,0.05175027251243591,0.006475924048572779,-87.66137353367021
TrajectoryCNN,vib_trajectory,44,9,10,0.042028315365314484,0.0031099519692361355,-50.52645266836807
TrajectoryCNN,vib_trajectory,44,10,11,0.01183874998241663,0.00016819642041809857,-5.1979079806837305
TrajectoryCNN,vib_trajectory,44,11,12,0.007969079539179802,0.00010240605479339138,-0.6839219857718906
TrajectoryCNN,vib_trajectory,44,12,13,0.0102341677993536,0.0001301384618273005,-1.2720332524898792
TrajectoryCNN,vib_trajectory,44,13,14,0.04953109472990036,0.004334729630500078,-202.1307084376837
TrajectoryCNN,vib_trajectory,44,14,15,0.006126711145043373,5.55426231585443e-05,-0.6737566450198427
TrajectoryCNN,vib_trajectory,44,15,16,0.00791768729686737,8.922402048483491e-05,-0.7116861157537089
