feature,mean_abs_shap
vib_z_rms,0.02315839373092561
vib_y_rms,0.01998123164791135
vib_x_skewness,0.010654531662675324
vib_y_skewness,0.0063116626817098995
vib_z_skewness,0.006192219824877978
ae_broad_rms,0.004987117456898138
vib_y_kurtosis,0.0046531047549134945
vib_z_crest_factor,0.004542699338011743
ae_broad_crest_factor,0.004468030314913891
vib_x_kurtosis,0.0031774794645211104
vib_x_crest_factor,0.002665950180531527
vib_x_rms,0.0026074431648738837
vib_y_crest_factor,0.0021656893599095338
vib_z_kurtosis,0.0021444914434118182
ae_narrow_rms,0.001908056264942919
ae_broad_kurtosis,0.0014339230786999096
ae_narrow_kurtosis,0.0012725223805943283
ae_narrow_skewness,0.000910419459712942
ae_broad_skewness,0.000747200304856607
ae_narrow_crest_factor,0.0006954241924613929
