feature,mean_abs_shap
vib_z_crest_factor,0.021845913349959632
vib_x_rms,0.018467955492222004
vib_x_skewness,0.017433384912251618
workpiece_speed,0.009477649674756315
vib_y_crest_factor,0.008124408904913418
vib_x_kurtosis,0.004384455753483715
vib_y_kurtosis,0.003157695372513923
vib_z_skewness,0.0023592370193574086
wheel_speed,0.0020744083579291714
vib_z_kurtosis,0.0017530424895937423
vib_x_crest_factor,0.001467785248376476
vib_y_skewness,0.0008648425176412072
vib_y_rms,0.0007541157130140165
vib_z_rms,0.000576183318707048
grinding_depth,0.0003767733436199674
