condition_id,y_true,y_pred,lower,upper,interval_width,covered
1,0.1128,0.09964548604985593,0.08540164770929137,0.11388932439042049,0.028487676681129115,True
1,0.1056,0.10322725948626393,0.09032156778826625,0.11613295118426162,0.02581138339599537,True
1,0.1102,0.1038203342992435,0.09094156649732298,0.11669910210116403,0.02575753560384106,True
1,0.1094,0.10181948939643959,0.08619427002669264,0.11744470876618654,0.0312504387394939,True
1,0.101,0.10409800431154967,0.08275842805959499,0.12543758056350435,0.04267915250390936,True
1,0.1084,0.10286272373661866,0.08780972315686195,0.11791572431637537,0.030106001159513424,True
1,0.1056,0.102495177081315,0.08950710016741058,0.11548325399521943,0.02597615382780885,True
1,0.1032,0.10163710270044124,0.08894098130629081,0.11433322409459167,0.02539224278830085,True
1,0.1074,0.10105293719476377,0.08682639303746231,0.11527948135206523,0.028453088314602915,True
1,0.1098,0.10164332680845625,0.08771416387320045,0.11557248974371205,0.027858325870511597,True
1,0.1026,0.10297379457697922,0.08996168401640499,0.11598590513755345,0.026024221121148466,True
1,0.1056,0.10135790255882934,0.08572019299971208,0.11699561211794661,0.03127541911823453,True
1,0.0974,0.1018749150123866,0.08716463348360176,0.11658519654117144,0.029420563057569682,True
1,0.0962,0.1016835585220978,0.08821854227021764,0.11514857477397797,0.02693003250376033,True
1,0.092,0.10151957421819245,0.08630985908064098,0.11672928935574392,0.030419430275102938,True
1,0.095,0.10168438004483715,0.08686650908479163,0.11650225100488268,0.029635741920091052,True
1,0.0946,0.10146411498085307,0.08880434635305354,0.11412388360865261,0.025319537255599073,True
1,0.101,0.09992273249264615,0.0855808151164859,0.1142646498688064,0.028683834752320503,True
1,0.095,0.10141606033635447,0.08751713713609272,0.11531498353661623,0.027797846400523518,True
2,0.0994,0.09561664807273322,0.08330529235322275,0.1079280037922437,0.02462271143902095,True
2,0.092,0.09121709989845846,0.07732774257016352,0.1051064572267534,0.027778714656589876,True
2,0.0902,0.09185593228041286,0.07821362779947366,0.10549823676135206,0.027284608961878398,True
2,0.0898,0.09500324146053359,0.08359303444545542,0.10641344847561175,0.022820414030156333,True
2,0.0892,0.09248097594614282,0.08025156685595237,0.10471038503633327,0.024458818180380898,True
2,0.094,0.09068792647617785,0.07602548870087275,0.10535036425148295,0.029324875550610197,True
2,0.09,0.09081958878180599,0.07661706946949727,0.1050221080941147,0.028405038624617435,True
2,0.0884,0.09001018970717321,0.06132238012852213,0.1186979992858243,0.05737561915730216,True
2,0.087,0.08744976080054681,0.07322619355256085,0.10167332804853277,0.028447134495971915,True
2,0.0902,0.09201561970583404,0.05330185866471903,0.13072938074694904,0.07742752208223,True
2,0.0828,0.08624663273073414,0.0730118522396684,0.09948141322179989,0.02646956098213149,True
2,0.0856,0.0870135459848041,0.07309085839475266,0.10093623357485554,0.027845375180102883,True
2,0.0866,0.08781395209903556,0.0741660521501376,0.10146185204793351,0.027295799897795903,True
2,0.0804,0.08748833734444883,0.06475950285577477,0.11021717183312289,0.045457668977348126,True
2,0.0832,0.08727188721533238,0.04868167152743109,0.12586210290323369,0.0771804313758026,True
2,0.0872,0.08517860196651793,0.0726902364287667,0.09766696750426916,0.024976731075502467,True
2,0.084,0.08466369776572012,0.0729717525797984,0.09635564295164184,0.023383890371843435,True
2,0.0892,0.0862295526951874,0.07329253945528985,0.09916656593508494,0.025874026479795087,True
2,0.094,0.08542598010130964,0.07299994143990866,0.09785201876271062,0.024852077322801952,True
2,0.0922,0.08485171785873932,0.07275218412676453,0.09695125159071412,0.024199067463949592,True
3,0.1052,0.0986959978034045,0.07904539153969589,0.11834660406711311,0.03930121252741722,True
3,0.1044,0.10503819797517863,0.09005486772261721,0.12002152822774005,0.02996666050512284,True
3,0.0998,0.10392417316410445,0.08907989023373424,0.11876845609447466,0.029688565860740423,True
3,0.1038,0.10149571004941063,0.08663614979755391,0.11635527030126736,0.029719120503713448,True
3,0.0998,0.09978158062444727,0.08372323101573187,0.11583993023316266,0.032116699217430794,True
3,0.1012,0.10075874178783828,0.08490793965726232,0.11660954391841424,0.03170160426115193,True
3,0.0964,0.1016846606106975,0.08727643763306643,0.11609288358832857,0.028816445955262143,True
3,0.0988,0.09958644791666005,0.08461750024746822,0.11455539558585187,0.029937895338383647,True
3,0.0928,0.10381502856181914,0.09023621330827702,0.11739384381536125,0.027157630507084224,True
3,0.0952,0.10083804533828519,0.0846304704606051,0.11704562021596529,0.032415149755360195,True
3,0.0904,0.09977754886503558,0.08544890958167312,0.11410618814839804,0.028657278566724925,True
3,0.081,0.0991809570625691,0.08379182386850513,0.11457009025663308,0.030778266388127945,False
3,0.0886,0.10204517985689765,0.0878592953163208,0.11623106439747449,0.028371769081153686,True
3,0.0864,0.09977465892196465,0.07635647826563113,0.12319283957829816,0.046836361312667024,True
3,0.0794,0.09942408515118265,0.08398404590786625,0.11486412439449904,0.030880078486632795,False
3,0.0756,0.09757148175817162,0.08358647442397432,0.11155648909236893,0.027970014668394605,False
3,0.0774,0.0995796478760236,0.08492051195273932,0.11423878379930787,0.029318271846568544,False
3,0.0812,0.09385979593166834,0.08137815397864034,0.10634143788469633,0.024963283906055983,False
3,0.0748,0.0975387618421707,0.0834753157982331,0.11160220788610829,0.028126892087875194,False
3,0.0816,0.09721011288645785,0.08347059207799737,0.11094963369491834,0.02747904161692097,False
4,0.119,0.0993177340829887,0.044198661351561544,0.15443680681441585,0.1102381454628543,True
4,0.1162,0.10174582537634345,0.042754381259346795,0.1607372694933401,0.1179828882339933,True
4,0.106,0.09609439485697222,0.06571378421249874,0.1264750055014457,0.060761221288946954,True
4,0.1104,0.09126639973861067,0.08157353233025436,0.10095926714696699,0.01938573481671263,False
4,0.1072,0.09322085675890278,0.0662986446908125,0.12014306882699306,0.05384442413618057,True
4,0.0988,0.09748584367097077,0.04655424143366137,0.14841744590828015,0.10186320447461879,True
4,0.0946,0.0958343285799006,0.051870575571618435,0.13979808158818274,0.08792750601656431,True
4,0.0958,0.09237854644060305,0.0656824926593648,0.1190746002218413,0.053392107562476504,True
4,0.0982,0.09422647580652291,0.06310676119460765,0.12534619041843817,0.06223942922383052,True
4,0.0922,0.09972935331229664,0.03712158809404033,0.16233711853055294,0.12521553043651262,True
4,0.0908,0.08937459197134524,0.07799708615870969,0.1007520977839808,0.022755011625271104,True
4,0.087,0.08963458458505422,0.05597080396901715,0.12329836520109128,0.06732756123207412,True
4,0.0816,0.09014543606520023,0.07886387027093841,0.10142700185946205,0.022563131588523633,True
4,0.0914,0.09356516111913414,0.05942578518170817,0.1277045370565601,0.06827875187485193,True
4,0.088,0.09059588513915816,0.07829003122101152,0.10290173905730479,0.024611707836293267,True
4,0.0848,0.09362904528490323,0.061741667216188484,0.12551642335361798,0.0637747561374295,True
4,0.092,0.09813565154441378,0.035611047871838455,0.16066025521698912,0.12504920734515068,True
4,0.0914,0.09358043726232915,0.05403690711725782,0.13312396740740048,0.07908706029014267,True
4,0.0858,0.10457548632494945,0.030116054555828123,0.1790349180940708,0.14891886353824269,True
4,0.0812,0.09483380911654347,0.026254169146493478,0.16341344908659347,0.1371592799401,True
5,0.1086,0.10398863628474443,0.09141027991617826,0.11656699265331061,0.025156712737132353,True
5,0.1066,0.10152588726223283,0.08283538393426912,0.12021639059019654,0.03738100665592742,True
5,0.1068,0.10093490078538114,0.08720668054700059,0.1146631210237617,0.0274564404767611,True
5,0.1016,0.10322584735389166,0.09093157927382851,0.11552011543395481,0.024588536160126295,True
5,0.09,0.09341615445799714,0.07835302203693775,0.10847928687905653,0.030126264842118777,True
5,0.0954,0.0938791735465989,0.07954579414923442,0.10821255294396338,0.028666758794728964,True
5,0.093,0.0962260901602672,0.0811109032998123,0.11134127702072211,0.03023037372090981,True
5,0.0904,0.09334616783704053,0.07903797110228149,0.10765436457179957,0.02861639346951808,True
5,0.097,0.09285394727904217,0.08025339359798403,0.10545450096010031,0.025201107362116282,True
5,0.0952,0.09303333857266496,0.07942853965420202,0.10663813749112791,0.02720959783692589,True
