condition_id,n,mean_measured_ra_um,sd_measured_ra_um
1,19,0.10277895,0.00610570
2,20,0.08877000,0.00434109
3,20,0.09069000,0.01010870
4,20,0.09562000,0.01068249
5,20,0.09692000,0.00544845
6,20,0.09029000,0.00722093
7,20,0.35397000,0.01314995
8,20,0.24154000,0.01095155
9,20,0.08453000,0.00854641
10,20,0.07826000,0.00776894
11,20,0.10832000,0.00520938
12,20,0.09310000,0.00779833
13,20,0.08896000,0.00756825
14,20,0.10638000,0.00461948
15,20,0.10214000,0.00576059
16,20,0.10076000,0.00721986
