model,config,seed,fold,repeat,mae,mse,r2
ChannelAttentionCNN,ae_spec,43,0,0,0.017423981800675392,0.000349449081113562,-8.373744010925293
ChannelAttentionCNN,ae_spec,43,1,0,0.009580143727362156,0.00010800414020195603,-4.731152534484863
ChannelAttentionCNN,ae_spec,43,2,0,0.013065161183476448,0.0002116510149789974,-1.071234941482544
ChannelAttentionCNN,ae_spec,43,3,0,0.01962267793715,0.00046897734864614904,-3.109668731689453
ChannelAttentionCNN,ae_spec,43,4,0,0.005878531374037266,6.294769991654903e-05,-1.1204798221588135
ChannelAttentionCNN,ae_spec,43,5,0,0.007002030499279499,6.407217733794823e-05,-0.22880446910858154
ChannelAttentionCNN,ae_spec,43,6,0,0.25484687089920044,0.06516765803098679,-375.86346435546875
ChannelAttentionCNN,ae_spec,43,7,0,0.09166760742664337,0.00899410992860794,-73.99060821533203
ChannelAttentionCNN,ae_spec,43,8,0,0.0075020999647676945,7.377817382803187e-05,-0.010091304779052734
ChannelAttentionCNN,ae_spec,43,9,0,0.03812772408127785,0.0022189149167388678,-35.76353454589844
ChannelAttentionCNN,ae_spec,43,10,0,0.008860131725668907,0.00010397548612672836,-2.831416606903076
ChannelAttentionCNN,ae_spec,43,11,0,0.02163447067141533,0.0007437975145876408,-11.230693817138672
ChannelAttentionCNN,ae_spec,43,12,0,0.010132725350558758,0.00016686803428456187,-1.9132797718048096
ChannelAttentionCNN,ae_spec,43,13,0,0.011789127252995968,0.00023196011898107827,-9.869935989379883
ChannelAttentionCNN,ae_spec,43,14,0,0.006208875682204962,5.348028935259208e-05,-0.6116092205047607
ChannelAttentionCNN,ae_spec,43,15,0,0.08182524144649506,0.008333373814821243,-158.86862182617188
