family,config,learner,fold,mae
dB-z,ae_logspec+vib_logspec,RidgeRegressionModel,8,0.05174555256962776
dB-z,ae_logspec+vib_logspec,RidgeRegressionModel,9,0.017136283218860626
dB-z,ae_logspec+vib_logspec,RidgeRegressionModel,10,0.017891520634293556
dB-z,ae_logspec+vib_logspec,RidgeRegressionModel,11,0.017751459032297134
dB-z,ae_logspec+vib_logspec,RidgeRegressionModel,12,0.02225356735289097
dB-z,ae_logspec+vib_logspec,RidgeRegressionModel,13,0.01568565145134926
dB-z,ae_logspec+vib_logspec,RidgeRegressionModel,14,0.025600219145417213
dB-z,ae_logspec+vib_logspec,RidgeRegressionModel,15,0.01018553413450718
dB-z,ae_logspec+vib_logspec,RidgeRegressionModel,16,0.008882074616849422
dB-z,ae_logspec+vib_logspec,LightGBMModel,1,0.005199725393847984
dB-z,ae_logspec+vib_logspec,LightGBMModel,2,0.004537365259743312
dB-z,ae_logspec+vib_logspec,LightGBMModel,3,0.01056550060918884
dB-z,ae_logspec+vib_logspec,LightGBMModel,4,0.011634739735256649
dB-z,ae_logspec+vib_logspec,LightGBMModel,5,0.005385007649521914
dB-z,ae_logspec+vib_logspec,LightGBMModel,6,0.005767054923775649
dB-z,ae_logspec+vib_logspec,LightGBMModel,7,0.2640331746439526
dB-z,ae_logspec+vib_logspec,LightGBMModel,8,0.1413683472930254
dB-z,ae_logspec+vib_logspec,LightGBMModel,9,0.009861261549864896
dB-z,ae_logspec+vib_logspec,LightGBMModel,10,0.007253161365510579
dB-z,ae_logspec+vib_logspec,LightGBMModel,11,0.007008455626051874
dB-z,ae_logspec+vib_logspec,LightGBMModel,12,0.01081129633016997
dB-z,ae_logspec+vib_logspec,LightGBMModel,13,0.011270322563982176
dB-z,ae_logspec+vib_logspec,LightGBMModel,14,0.011099534120063467
dB-z,ae_logspec+vib_logspec,LightGBMModel,15,0.009696099728288197
dB-z,ae_logspec+vib_logspec,LightGBMModel,16,0.0058911000321265495
dB-z,ae_logspec+vib_logspec,ShallowMLPModel,1,3.602234363555908
dB-z,ae_logspec+vib_logspec,ShallowMLPModel,2,1.5161460638046265
dB-z,ae_logspec+vib_logspec,ShallowMLPModel,3,1.1199795007705688
dB-z,ae_logspec+vib_logspec,ShallowMLPModel,4,1.5430848598480225
dB-z,ae_logspec+vib_logspec,ShallowMLPModel,5,2.04547381401062
dB-z,ae_logspec+vib_logspec,ShallowMLPModel,6,1.6765896081924438
dB-z,ae_logspec+vib_logspec,ShallowMLPModel,7,38.68988800048828
dB-z,ae_logspec+vib_logspec,ShallowMLPModel,8,6.4989495277404785
dB-z,ae_logspec+vib_logspec,ShallowMLPModel,9,1.5997850894927979
dB-z,ae_logspec+vib_logspec,ShallowMLPModel,10,10.006574630737305
dB-z,ae_logspec+vib_logspec,ShallowMLPModel,11,1.497849464416504
dB-z,ae_logspec+vib_logspec,ShallowMLPModel,12,3.6492080688476562
dB-z,ae_logspec+vib_logspec,ShallowMLPModel,13,2.1209921836853027
dB-z,ae_logspec+vib_logspec,ShallowMLPModel,14,9.759947776794434
dB-z,ae_logspec+vib_logspec,ShallowMLPModel,15,2.692457675933838
dB-z,ae_logspec+vib_logspec,ShallowMLPModel,16,1.773880958557129
log-mel,ae_mel+vib_mel,RandomForestModel,1,0.005086884717320589
log-mel,ae_mel+vib_mel,RandomForestModel,2,0.004918263602168981
log-mel,ae_mel+vib_mel,RandomForestModel,3,0.008935170677885828
log-mel,ae_mel+vib_mel,RandomForestModel,4,0.011351625140967074
log-mel,ae_mel+vib_mel,RandomForestModel,5,0.004728025415660508
log-mel,ae_mel+vib_mel,RandomForestModel,6,0.00827365565846056
log-mel,ae_mel+vib_mel,RandomForestModel,7,0.2061158980921455
log-mel,ae_mel+vib_mel,RandomForestModel,8,0.01177662581420251
log-mel,ae_mel+vib_mel,RandomForestModel,9,0.01088413841732731
log-mel,ae_mel+vib_mel,RandomForestModel,10,0.009602078782313606
log-mel,ae_mel+vib_mel,RandomForestModel,11,0.005222832984738931
log-mel,ae_mel+vib_mel,RandomForestModel,12,0.010486231864154589
log-mel,ae_mel+vib_mel,RandomForestModel,13,0.006213747277006061
log-mel,ae_mel+vib_mel,RandomForestModel,14,0.00606348785897169
log-mel,ae_mel+vib_mel,RandomForestModel,15,0.010365527757542426
log-mel,ae_mel+vib_mel,RandomForestModel,16,0.007316656410887519
log-mel,ae_mel+vib_mel,RidgeRegressionModel,1,0.02693117968738079
log-mel,ae_mel+vib_mel,RidgeRegressionModel,2,0.00583376782014966
log-mel,ae_mel+vib_mel,RidgeRegressionModel,3,0.017943862825632095
log-mel,ae_mel+vib_mel,RidgeRegressionModel,4,0.019197139889001846
log-mel,ae_mel+vib_mel,RidgeRegressionModel,5,0.005865170154720545
log-mel,ae_mel+vib_mel,RidgeRegressionModel,6,0.010645908303558826
log-mel,ae_mel+vib_mel,RidgeRegressionModel,7,0.1319531351327896
log-mel,ae_mel+vib_mel,RidgeRegressionModel,8,0.07756327092647552
log-mel,ae_mel+vib_mel,RidgeRegressionModel,9,0.009044495411217213
log-mel,ae_mel+vib_mel,RidgeRegressionModel,10,0.010622364468872547
log-mel,ae_mel+vib_mel,RidgeRegressionModel,11,0.04235279560089111
log-mel,ae_mel+vib_mel,RidgeRegressionModel,12,0.020659413188695908
log-mel,ae_mel+vib_mel,RidgeRegressionModel,13,0.02516641840338707
log-mel,ae_mel+vib_mel,RidgeRegressionModel,14,0.2005590945482254
log-mel,ae_mel+vib_mel,RidgeRegressionModel,15,0.017922446131706238
log-mel,ae_mel+vib_mel,RidgeRegressionModel,16,0.011453850194811821
log-mel,ae_mel+vib_mel,LightGBMModel,1,0.0051814533870110455
log-mel,ae_mel+vib_mel,LightGBMModel,2,0.004915536057977742
log-mel,ae_mel+vib_mel,LightGBMModel,3,0.009660855548100124
log-mel,ae_mel+vib_mel,LightGBMModel,4,0.007309702055055029
log-mel,ae_mel+vib_mel,LightGBMModel,5,0.004442014352998897
log-mel,ae_mel+vib_mel,LightGBMModel,6,0.00592737842793975
log-mel,ae_mel+vib_mel,LightGBMModel,7,0.26075109507945343
log-mel,ae_mel+vib_mel,LightGBMModel,8,0.0993275644516432
log-mel,ae_mel+vib_mel,LightGBMModel,9,0.011851883398864069
log-mel,ae_mel+vib_mel,LightGBMModel,10,0.007978170903438407
log-mel,ae_mel+vib_mel,LightGBMModel,11,0.004758559854322521
log-mel,ae_mel+vib_mel,LightGBMModel,12,0.010093973067347531
log-mel,ae_mel+vib_mel,LightGBMModel,13,0.00760404499532098
log-mel,ae_mel+vib_mel,LightGBMModel,14,0.004660669931518593
log-mel,ae_mel+vib_mel,LightGBMModel,15,0.009079731872751023
log-mel,ae_mel+vib_mel,LightGBMModel,16,0.006414222202340794
log-mel,ae_mel+vib_mel,ShallowMLPModel,1,0.6936523914337158
log-mel,ae_mel+vib_mel,ShallowMLPModel,2,0.6355818510055542
log-mel,ae_mel+vib_mel,ShallowMLPModel,3,0.6231040954589844
log-mel,ae_mel+vib_mel,ShallowMLPModel,4,0.531197190284729
log-mel,ae_mel+vib_mel,ShallowMLPModel,5,0.4898935854434967
log-mel,ae_mel+vib_mel,ShallowMLPModel,6,0.5896007418632507
log-mel,ae_mel+vib_mel,ShallowMLPModel,7,1.043738842010498
log-mel,ae_mel+vib_mel,ShallowMLPModel,8,0.69475257396698
log-mel,ae_mel+vib_mel,ShallowMLPModel,9,0.7156223058700562
log-mel,ae_mel+vib_mel,ShallowMLPModel,10,0.3206295669078827
log-mel,ae_mel+vib_mel,ShallowMLPModel,11,0.7999900579452515
log-mel,ae_mel+vib_mel,ShallowMLPModel,12,0.6133576035499573
log-mel,ae_mel+vib_mel,ShallowMLPModel,13,0.36289575695991516
log-mel,ae_mel+vib_mel,ShallowMLPModel,14,148.07620239257812
log-mel,ae_mel+vib_mel,ShallowMLPModel,15,1.3007657527923584
log-mel,ae_mel+vib_mel,ShallowMLPModel,16,0.5112212300300598
WST,ae_wst+vib_wst,RandomForestModel,1,0.005702923612150487
WST,ae_wst+vib_wst,RandomForestModel,2,0.007306864347197582
WST,ae_wst+vib_wst,RandomForestModel,3,0.009666184839994615
WST,ae_wst+vib_wst,RandomForestModel,4,0.011095274090218469
WST,ae_wst+vib_wst,RandomForestModel,5,0.004912182744867313
WST,ae_wst+vib_wst,RandomForestModel,6,0.006587423406274433
WST,ae_wst+vib_wst,RandomForestModel,7,0.21694747391087313
WST,ae_wst+vib_wst,RandomForestModel,8,0.0679898098714069
WST,ae_wst+vib_wst,RandomForestModel,9,0.012781289319436848
WST,ae_wst+vib_wst,RandomForestModel,10,0.014027703999429741
WST,ae_wst+vib_wst,RandomForestModel,11,0.04485795451385723
WST,ae_wst+vib_wst,RandomForestModel,12,0.007893742254045395
WST,ae_wst+vib_wst,RandomForestModel,13,0.012182656541520412
WST,ae_wst+vib_wst,RandomForestModel,14,0.08722167311325864
WST,ae_wst+vib_wst,RandomForestModel,15,0.012059554001516301
WST,ae_wst+vib_wst,RandomForestModel,16,0.008955254562137338
WST,ae_wst+vib_wst,RidgeRegressionModel,1,0.022671416401863098
WST,ae_wst+vib_wst,RidgeRegressionModel,2,0.011156892403960228
WST,ae_wst+vib_wst,RidgeRegressionModel,3,0.01494145579636097
WST,ae_wst+vib_wst,RidgeRegressionModel,4,0.028399895876646042
WST,ae_wst+vib_wst,RidgeRegressionModel,5,0.013979680836200714
WST,ae_wst+vib_wst,RidgeRegressionModel,6,0.012005433440208435
