model,config,condition,seed_avg_mae
ResNetVibCNN,vib_spec,7,0.1832963317632675
ResNetVibCNN,vib_spec,8,0.11246346235275269
ResNetVibCNN,vib_spec,9,0.05750789530575275
ResNetVibCNN,vib_spec,10,0.014658076874911784
ResNetVibCNN,vib_spec,11,0.010837823059409857
ResNetVibCNN,vib_spec,12,0.018841421231627464
ResNetVibCNN,vib_spec,13,0.010284051299095154
ResNetVibCNN,vib_spec,14,0.028658077120780945
ResNetVibCNN,vib_spec,15,0.019882584735751153
ResNetVibCNN,vib_spec,16,0.015690782386809588
TrajectoryCNN,vib_trajectory,1,0.0079824961721897
TrajectoryCNN,vib_trajectory,2,0.0633925050497055
TrajectoryCNN,vib_trajectory,3,0.0110330041497945
TrajectoryCNN,vib_trajectory,4,0.0119074303656816
TrajectoryCNN,vib_trajectory,5,0.0046456130221486
TrajectoryCNN,vib_trajectory,6,0.0181750301271677
TrajectoryCNN,vib_trajectory,7,0.2566626071929931
TrajectoryCNN,vib_trajectory,8,0.1434058845043182
TrajectoryCNN,vib_trajectory,9,0.05669335275888441
TrajectoryCNN,vib_trajectory,10,0.0386872142553329
TrajectoryCNN,vib_trajectory,11,0.0122677404433488
TrajectoryCNN,vib_trajectory,12,0.006895831786096001
TrajectoryCNN,vib_trajectory,13,0.0124819418415427
TrajectoryCNN,vib_trajectory,14,0.061224889010190894
TrajectoryCNN,vib_trajectory,15,0.0066760154440999005
TrajectoryCNN,vib_trajectory,16,0.0080903442576527
