position,mean_mae,std_mae
early,0.0212517109517036,0.0351454700491165
early_middle_late_concat,0.019541154769878985,0.0337847442153859
late,0.0198490326227864,0.0335220077857362
middle,0.020422388566333,0.0348916252879374
