feature,mean_abs_shap
vib_y_rms,0.028231392205128363
vib_z_rms,0.016729076670887945
vib_z_skewness,0.005376975359195673
vib_y_crest_factor,0.0024762370170945433
ae_broad_crest_factor,0.0019238563754899994
ae_broad_rms,0.0017011982270187765
vib_x_rms,0.001580142299961381
vib_z_crest_factor,0.001382267779426248
vib_x_skewness,0.001308406950101344
vib_z_kurtosis,0.0011031166817760027
vib_y_kurtosis,0.0008730462171898472
ae_narrow_skewness,0.0008233311194903159
ae_broad_kurtosis,0.0007367728999269172
vib_x_crest_factor,0.0006156043497869828
vib_x_kurtosis,0.000610433336618753
ae_narrow_rms,0.0005891511721264616
ae_narrow_crest_factor,0.000426389128577808
ae_broad_skewness,0.0002925367397194013
ae_narrow_kurtosis,0.00026344836352643855
vib_y_skewness,0.0002258624165887826
