group,n_train,n_test,mae
v_w=20,240,79,0.02607608127323892
v_w=40,239,80,0.008448279294095697
v_w=60,239,80,0.008128277623269932
v_w=80,239,80,0.041291744417788025
a_p=20,240,79,0.04126964154957928
a_p=30,239,80,0.02139242683001188
a_p=40,239,80,0.010473557270923865
a_p=50,239,80,0.00888231620077543
