model,config,n_seeds,mean_mae,std_mae,seed_means,seed_stds,seed_averaged_fold_maes
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,5,0.044731348537607116,0.06011802155026769,"[0.04452186365961097, 0.041875907976645976, 0.04668983182637021, 0.04138194367988035, 0.049187195545528084]","[0.06205193475198859, 0.05831305435054993, 0.063142454729818, 0.06515422686303655, 0.06265148070446443]","[0.015685672964900733, 0.02558349510654807, 0.01395933348685503, 0.038483780436217786, 0.013865339756011962, 0.01925921384245157, 0.25265644788742064, 0.1263169303536415, 0.04336743988096714, 0.029354114457964896, 0.030632421560585498, 0.02637832686305046, 0.011774434708058834, 0.005950472597032785, 0.04554661028087139, 0.016887542419135572]"
ChannelAttentionCNN,ae_spec,5,0.042332296376116574,0.06091282521239424,"[0.050314073712797835, 0.03782296256395057, 0.048010995116783306, 0.03341294403071515, 0.042100506456336007]","[0.06358330630389007, 0.06150584053110585, 0.06498888942233154, 0.06319602423204769, 0.06388479170617516]","[0.010406397562474013, 0.011537869554013013, 0.013914296124130487, 0.016491827555000782, 0.00912658954039216, 0.010968505404889584, 0.2614399790763855, 0.10056987665593624, 0.052405493427067996, 0.03079703785479069, 0.016418351605534554, 0.04628698099404573, 0.020998914912343025, 0.016538242250680922, 0.023539750184863806, 0.035876629315316676]"
RandomForestModel,ae_logspec+vib_logspec,5,0.020309610054810304,0.03596375193320581,"[0.020960630412459033, 0.02047746494566927, 0.02036892695774884, 0.020079916523793657, 0.019661111434380745]","[0.03611018471032474, 0.03596179410609026, 0.03523370286387835, 0.03773594969342099, 0.03527924385859736]","[0.005358697584453652, 0.003194837494952115, 0.009432456252696416, 0.008321857231407496, 0.0036409731456548966, 0.0061455230734764835, 0.1509488449300846, 0.05847431505092471, 0.00923006819455811, 0.010490612301651592, 0.008156104359697196, 0.00999180425788585, 0.012329962677679792, 0.014245687275414119, 0.009947909731928717, 0.005044107314499173]"
ResNetAECNN,ae_spec,5,0.0422882872982882,0.061801517049568794,"[0.0380442974565085, 0.047485295188380405, 0.04778235426056199, 0.03531825871323235, 0.04281123087275773]","[0.05954426774148251, 0.06538047262601068, 0.06834400665618509, 0.06165653386731931, 0.06389570820064613]","[0.016052556782960893, 0.016298404708504678, 0.014001865778118372, 0.008475181180983782, 0.01780576789751649, 0.0072880849242210385, 0.25313865542411806, 0.12811886370182038, 0.06072735991328955, 0.032104909792542456, 0.018575424328446388, 0.04549374375492334, 0.012063912954181433, 0.01733806822448969, 0.020263895206153393, 0.008865902200341225]"
ResNetFusion,ae_spec+vib_spec+physics,5,0.0416941380884964,0.0557024868962667,"[0.036909561487846076, 0.03796762984711677, 0.039009402389638126, 0.04865290643647313, 0.04593119028140791]","[0.0553062757453568, 0.057716225446866214, 0.055728610018753885, 0.0645353230356904, 0.06213790632549404]","[0.01309395395219326, 0.031135824974626303, 0.012074811849743128, 0.045339026302099225, 0.01084043513983488, 0.027231900952756405, 0.22588615119457245, 0.1354425221681595, 0.021739092841744422, 0.011112808156758547, 0.01845501447096467, 0.014687913749367, 0.014881198294460773, 0.032358701899647714, 0.03240387998521328, 0.02042297348380089]"
ResNetVibCNN,vib_spec,5,0.03837456323090009,0.04516319764295687,"[0.040429380314890295, 0.028264670341741294, 0.044078036095015705, 0.042191954620648175, 0.036908774782205]","[0.055092957848508595, 0.0377922220484962, 0.052503347984385974, 0.05659834948493053, 0.0497777038883502]","[0.008819775190204382, 0.013678059726953507, 0.03580531608313322, 0.04268218260258436, 0.010852404497563839, 0.03003476746380329, 0.1832963317632675, 0.11246346235275269, 0.05750789530575275, 0.014658076874911784, 0.010837823059409857, 0.018841421231627464, 0.010284051299095154, 0.028658077120780945, 0.019882584735751153, 0.015690782386809588]"
TrajectoryCNN,vib_trajectory,5,0.0450138687738217,0.06502015096044596,"[0.04385212596389465, 0.044493301218608394, 0.04501386877382174, 0.045174420112743974, 0.04837360209785402]","[0.067080329945531, 0.06374908703609666, 0.06502015096044594, 0.0668380915818875, 0.06763680742234209]","[0.0079824961721897, 0.0633925050497055, 0.0110330041497945, 0.0119074303656816, 0.0046456130221486, 0.0181750301271677, 0.2566626071929931, 0.1434058845043182, 0.05669335275888441, 0.0386872142553329, 0.0122677404433488, 0.006895831786096001, 0.0124819418415427, 0.061224889010190894, 0.0066760154440999005, 0.0080903442576527]"
