test_condition,strategy,coverage,mean_width,q
1,Global OOB scaled,1.0,0.028804138173129296,1.6035230159759521
1,Condition-aware k-NN,0.9473684210526315,0.022510116484920524,1.2531355619430542
1,Split conformal (1 calib condition),0.7894736842105263,0.01686811526739649,0.870333362053366
1,Naive residual 95%,0.9473684210526315,0.02605551667511463,0.013027758337557316
2,Global OOB scaled,1.0,0.03377400431529158,1.5674904584884644
2,Condition-aware k-NN,1.0,0.029978267750105907,1.3913259506225586
2,Split conformal (1 calib condition),1.0,0.024249193885365915,1.034572066434423
2,Naive residual 95%,1.0,0.028140882030129433,0.014070441015064716
3,Global OOB scaled,0.65,0.030710112119639428,1.7288740873336792
3,Condition-aware k-NN,0.7,0.03127704502310587,1.760790467262268
3,Split conformal (1 calib condition),0.7,0.03000754980873539,1.7956231949145018
3,Naive residual 95%,0.6,0.026670152321457863,0.013335076160728931
4,Global OOB scaled,0.95,0.0776187761530385,1.5178343057632446
4,Condition-aware k-NN,0.95,0.07788580389404459,1.5230560302734375
4,Split conformal (1 calib condition),1.0,0.14371577529509955,2.803761994698289
4,Naive residual 95%,0.7,0.026877861469984055,0.013438930734992027
5,Global OOB scaled,1.0,0.02769889876405755,1.5988357067108154
5,Condition-aware k-NN,1.0,0.02798035472375978,1.6150819063186646
5,Split conformal (1 calib condition),1.0,0.05105512774564599,2.7119828380133835
5,Naive residual 95%,1.0,0.02802709862589836,0.01401354931294918
6,Global OOB scaled,0.8,0.019847125847038398,1.4937905073165894
6,Condition-aware k-NN,0.8,0.01812334908027196,1.3640507459640503
6,Split conformal (1 calib condition),0.35,0.007791993032592939,0.5703318580179471
6,Naive residual 95%,1.0,0.02858348749577999,0.014291743747889996
7,Global OOB scaled,0.0,0.19729080339378585,1.6066951751708984
7,Condition-aware k-NN,0.0,0.19266548459381788,1.5690275430679321
7,Split conformal (1 calib condition),0.15,0.2579716675026653,2.1429567555702427
7,Naive residual 95%,0.0,0.022636935114860535,0.011318467557430267
8,Global OOB scaled,1.0,0.29091330158547446,1.480655550956726
8,Condition-aware k-NN,1.0,0.2958362054951479,1.505711555480957
8,Split conformal (1 calib condition),1.0,0.4337665031619167,2.1748992740094937
8,Naive residual 95%,0.0,0.027178317308425903,0.013589158654212952
9,Global OOB scaled,1.0,0.0877698137948044,1.566402554512024
9,Condition-aware k-NN,1.0,0.09245671760454321,1.6500483751296997
9,Split conformal (1 calib condition),1.0,0.09077112067001673,1.7490012452421246
9,Naive residual 95%,0.65,0.02784309908747673,0.013921549543738365
10,Global OOB scaled,0.85,0.0592301881196511,1.5107518434524536
10,Condition-aware k-NN,0.7,0.03963293063582933,1.0108953714370728
10,Split conformal (1 calib condition),0.95,0.055533783383420944,2.441273989852028
10,Naive residual 95%,0.8,0.026982279494404793,0.013491139747202396
11,Global OOB scaled,0.9,0.039388237476388144,1.4982523918151855
11,Condition-aware k-NN,0.9,0.03880809371664502,1.4761848449707031
11,Split conformal (1 calib condition),0.65,0.02304960932146171,0.9838652186271878
11,Naive residual 95%,0.8,0.025491710752248764,0.012745855376124382
12,Global OOB scaled,0.75,0.024724768526360647,1.67262864112854
12,Condition-aware k-NN,0.7,0.023661594876912207,1.6007050275802612
12,Split conformal (1 calib condition),0.25,0.010779161354964161,0.8154740673795565
12,Naive residual 95%,0.75,0.025770381093025208,0.012885190546512604
13,Global OOB scaled,0.4,0.023989120553187738,1.5590301752090454
13,Condition-aware k-NN,0.35,0.018622575265470096,1.2102634906768799
13,Split conformal (1 calib condition),0.45,0.0250717122425203,1.536846850140129
13,Naive residual 95%,0.4,0.024842742830514908,0.012421371415257454
14,Global OOB scaled,0.9,0.12836590699562428,1.5384745597839355
14,Condition-aware k-NN,0.95,0.15084308499501342,1.8078651428222656
14,Split conformal (1 calib condition),0.95,0.080282708960168,0.7447719522469741
14,Naive residual 95%,0.45,0.0254535973072052,0.0127267986536026
15,Global OOB scaled,0.65,0.027764879306961875,1.5639722347259521
15,Condition-aware k-NN,0.5,0.026236294088384703,1.4778683185577393
15,Split conformal (1 calib condition),0.35,0.013615639139920314,0.6869411100330557
15,Naive residual 95%,0.75,0.026461981236934662,0.013230990618467331
16,Global OOB scaled,1.0,0.028435059591771526,1.5989384651184082
16,Condition-aware k-NN,0.95,0.022881995866393005,1.2866828441619873
16,Split conformal (1 calib condition),1.0,0.03156015444190058,1.7077617430967917
16,Naive residual 95%,0.95,0.025844238698482513,0.012922119349241257
