feature,mean_abs_shap
vib_z_crest_factor,0.03791028663590289
vib_x_skewness,0.02755347595869057
vib_x_rms,0.020440488196570777
vib_y_crest_factor,0.007913159031267648
vib_x_kurtosis,0.00461304972026909
vib_z_skewness,0.003411775094872015
workpiece_speed,0.0018988235392147698
vib_y_skewness,0.0018924786894707441
vib_y_kurtosis,0.0018302306560380754
vib_z_rms,0.0014390393065607488
grinding_depth,0.0013895299151815217
vib_z_kurtosis,0.0012894601110994919
vib_x_crest_factor,0.001228583602263274
vib_y_rms,0.0011476275151136412
wheel_speed,0.0008625687957616297
