feature,mean_abs_shap
vib_y_crest_factor,0.025177220907182416
vib_z_crest_factor,0.013224902307507162
vib_x_skewness,0.012182954966559863
vib_x_rms,0.0057481436204944196
workpiece_speed,0.0034731766582875353
vib_x_kurtosis,0.0029816728458352242
vib_x_crest_factor,0.002287607367054492
vib_z_skewness,0.0020119994194951773
ae_broad_rms,0.0018141150358098146
ae_broad_crest_factor,0.0017080838925008582
grinding_depth,0.0012225198207064644
vib_y_kurtosis,0.0011735761725080386
ae_narrow_skewness,0.0006629666037337298
wheel_speed,0.0005589729759725001
vib_z_rms,0.0004338994509799551
ae_narrow_rms,0.0003424321963760297
vib_z_kurtosis,0.0003320989882402785
ae_broad_kurtosis,0.0003135382061263227
ae_narrow_crest_factor,0.00030308111116067904
ae_broad_skewness,0.00027015319093074786
vib_y_rms,0.000258314931927304
vib_y_skewness,0.00024555583421090305
ae_narrow_kurtosis,0.00017582017688263208
