model,config,seed,fold,repeat,mae,mse,r2
ChannelAttentionCNN,ae_spec,45,0,0,0.014605294913053513,0.00024400590336881578,-5.545299053192139
ChannelAttentionCNN,ae_spec,45,1,0,0.00931758712977171,0.00012038888962706551,-5.388339042663574
ChannelAttentionCNN,ae_spec,45,2,0,0.006998129189014435,7.95388623373583e-05,0.22162586450576782
ChannelAttentionCNN,ae_spec,45,3,0,0.007946103811264038,0.0001054014646797441,0.07636237144470215
ChannelAttentionCNN,ae_spec,45,4,0,0.007098527159541845,6.002844747854397e-05,-1.0221409797668457
ChannelAttentionCNN,ae_spec,45,5,0,0.020314985886216164,0.0004641659033950418,-7.901978492736816
ChannelAttentionCNN,ae_spec,45,6,0,0.27310630679130554,0.07472094148397446,-431.10992431640625
ChannelAttentionCNN,ae_spec,45,7,0,0.019649630412459373,0.0006169768166728318,-4.144196033477783
ChannelAttentionCNN,ae_spec,45,8,0,0.06084875389933586,0.004791996441781521,-64.60685729980469
ChannelAttentionCNN,ae_spec,45,9,0,0.022343097254633904,0.0006521579343825579,-9.80511474609375
ChannelAttentionCNN,ae_spec,45,10,0,0.011936688795685768,0.00016974916798062623,-5.255126476287842
ChannelAttentionCNN,ae_spec,45,11,0,0.01396274846047163,0.00032728174119256437,-4.381683349609375
ChannelAttentionCNN,ae_spec,45,12,0,0.010369380936026573,0.00014008345897309482,-1.4456591606140137
ChannelAttentionCNN,ae_spec,45,13,0,0.010205031372606754,0.0001400172186549753,-5.561379432678223
ChannelAttentionCNN,ae_spec,45,14,0,0.030354391783475876,0.0009582962957210839,-27.877912521362305
ChannelAttentionCNN,ae_spec,45,15,0,0.015550446696579456,0.0005275051225908101,-9.119732856750488
