feature,mean_abs_shap
vib_z_crest_factor,0.034265972461612594
vib_x_skewness,0.028335261455348995
vib_x_rms,0.020442093964197123
vib_y_crest_factor,0.007238714189391614
vib_x_kurtosis,0.004884799719776071
vib_z_skewness,0.0033726420394062304
ae_broad_rms,0.003053468747358245
vib_y_skewness,0.0028291831010936403
vib_x_crest_factor,0.002216782201876126
ae_narrow_rms,0.0021881109125617536
vib_y_kurtosis,0.002068215428159367
vib_z_kurtosis,0.0015754440454902494
workpiece_speed,0.0013965742074337336
ae_narrow_skewness,0.0013234217892498042
ae_narrow_crest_factor,0.0009749243354588345
grinding_depth,0.0009738350916057469
ae_broad_crest_factor,0.0008741496306665415
vib_z_rms,0.0008569213531486844
wheel_speed,0.0007430730190557166
ae_broad_kurtosis,0.0007016661918310756
ae_broad_skewness,0.0006165248847244297
ae_narrow_kurtosis,0.00034225100013732024
vib_y_rms,0.00031489395020983894
