feature,mean_abs_shap
vib_x_rms,0.002571639597124587
vib_x_crest_factor,0.0021833985540232206
vib_x_skewness,0.0018626492213737523
vib_y_kurtosis,0.0012383895893004887
vib_x_kurtosis,0.0011251524296422588
vib_z_crest_factor,0.0010113660299600551
ae_narrow_crest_factor,0.0009546820805222884
vib_z_kurtosis,0.0008747592971148016
wheel_speed,0.0006393910040434554
ae_broad_crest_factor,0.000609050407476529
ae_narrow_rms,0.000589898044538974
ae_broad_rms,0.0004398253662527157
vib_z_rms,0.0004334182679940157
vib_y_crest_factor,0.000338547700395109
workpiece_speed,0.0002772303382339075
vib_y_rms,0.000259552936136189
ae_broad_skewness,0.00025660465193984874
grinding_depth,0.0002409267265638315
ae_narrow_kurtosis,0.00021059239627473357
vib_z_skewness,0.00020177437657163186
ae_narrow_skewness,0.00020028759396109087
vib_y_skewness,0.00010384934816900785
ae_broad_kurtosis,5.59157390952506e-05
