target,variable,pearson_r,pearson_p,spearman_rho,spearman_p
residual,y_true,-0.616825447110521,7.946827342201114e-35,-0.48358431771671323,4.22319679237814e-20
abs_residual,y_true,0.9529259106113763,2.4071367092841552e-166,0.29060788338682053,1.260272926105254e-07
residual,y_pred,-0.06001807035214361,0.28519917150374285,0.13695510735198438,0.014363577024664152
abs_residual,y_pred,0.7173770400001875,1.0880051800320254e-51,0.42065305790500973,4.132049737195433e-15
residual,wheel_speed,0.06220804552366884,0.26795560841181665,-0.025719235843277906,0.6472163481557378
abs_residual,wheel_speed,-0.10214911518702377,0.06844764868780026,0.15925809595579338,0.004351409159787311
residual,workpiece_speed,-0.3748248405285608,4.443796093545508e-12,-0.07656631152271963,0.17251941489753841
abs_residual,workpiece_speed,0.20682604212344585,0.00019935736770514373,0.08300599935486516,0.13906854327703427
residual,depth_of_cut,0.2532484931097766,4.643353505362291e-06,0.07665164206344913,0.1720401167061432
abs_residual,depth_of_cut,-0.3570992549174929,5.002280577367494e-11,-0.1550669728647056,0.0055113456871250955
residual,pass_order,0.06455573512630355,0.2502774789668547,-0.015693203998343883,0.7800863690828033
abs_residual,pass_order,-0.04074854924591681,0.46830687341829985,0.22012036434612886,7.346424581146482e-05
residual,ae_rms,0.04717626116567836,0.4010457926803353,-0.02519814278109659,0.6538950625068152
abs_residual,ae_rms,-0.2256893699216315,4.7475306709645476e-05,-0.16203088957236647,0.0037102213691287285
residual,vib_rms,-0.22629148083785794,4.5256596879058476e-05,-0.1164133199266576,0.037698597043632855
abs_residual,vib_rms,-0.031851345341270855,0.5708542457552136,-0.12430280357248477,0.0264173742266294
residual,training_target_support_distance,-0.9009353036958818,5.828133283671665e-117,-0.355296234126375,6.346482760248202e-11
abs_residual,training_target_support_distance,0.9134994297923373,7.540293626124385e-126,0.4289121306128829,1.0438708048320162e-15
