baseline,overall_mae,median_condition_mae,max_condition_mae
Training-target mean,0.04533905670499863,0.027363691657888416,0.24948684430571005
Training-target median,0.033954859574012994,0.00997499916702509,0.25876999646425247
Nearest training condition,0.05905582728114847,0.010035999771207574,0.27570999823510645
