model,config,seed,fold,repeat,mae,mse,r2
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,46,0,0,0.004796965513378382,3.550274414010346e-05,0.04766207933425903
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,46,1,0,0.06758991628885269,0.006272556725889444,-331.84814453125
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,46,2,0,0.010000383481383324,0.00016208202578127384,-0.5861486196517944
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,46,3,0,0.08805473893880844,0.008796051144599915,-76.0801773071289
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,46,4,0,0.009675129316747189,0.00012980173050891608,-3.3725504875183105
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,46,5,0,0.026503214612603188,0.0007935479516163468,-14.219012260437012
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,46,6,0,0.24835491180419922,0.06214813143014908,-358.4015808105469
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,46,7,0,0.13694113492965698,0.0188735444098711,-156.36282348632812
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,46,8,0,0.019165057688951492,0.0004685131716541946,-5.4143781661987305
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,46,9,0,0.021769937127828598,0.0006201720098033547,-9.275163650512695
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,46,10,0,0.0692286342382431,0.004855711944401264,-177.92926025390625
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,46,11,0,0.03872408717870712,0.0015651572030037642,-24.736787796020508
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,46,12,0,0.011145144701004028,0.00015397771494463086,-1.6882331371307373
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,46,13,0,0.0052123465575277805,3.683321483549662e-05,-0.7260496616363525
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,46,14,0,0.022316206246614456,0.0005310199921950698,-15.002094268798828
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,46,15,0,0.007517320103943348,8.864905248628929e-05,-0.7006559371948242
