comparison,median_diff_all,mean_diff_all,p_wilcoxon_all,ci_lo_all,ci_hi_all,median_diff_excl_c7,mean_diff_excl_c7,p_wilcoxon_excl_c7,ci_lo_excl_c7,ci_hi_excl_c7
Best RF vs RF AE-spec + Vib-spec + PP,-0.0005292614044249177,-0.000979653513818341,0.528167724609375,-0.002366396100422624,0.0011189927368481182,-0.00020060780647217398,0.0012791921636932007,0.803955078125,-0.0013990419606468435,0.0030761414381716267
Best RF vs ResNetVibCNN (Vib-spec),-0.004235610597237159,-0.0068071372658028125,0.09344482421875,-0.008272061567490913,0.001452162174344098,-0.003967842666281904,-0.004327077809062122,0.1688232421875,-0.007082346586831171,0.0028731230402514983
Best RF vs LightGBM (Vib-logspec),-0.0004986453518543016,-0.0049907714585627535,0.375457763671875,-0.0025600553820096716,0.0006931094260807253,-0.00022100214412124584,-0.0035149378930381856,0.5994873046875,-0.002234018925450198,0.0006931094260807253
