input,mean_mae,fold_sd,median_mae,maximum_mae
AE only,0.028233939843736563,0.05328268307854907,0.009063140888009035,0.20101472784483
Vibration only,0.02172284831717519,0.0363710385444191,0.008723647874482428,0.14000276072855117
AE + vibration,0.020960630412459033,0.03611018471032474,0.009285329341227718,0.147817065814029
