condition_id,y_true,y_pred,y_std,lower,upper,covered,interval_width
1,0.1128,0.10290400072932243,0.023752938137922373,0.08131561019454986,0.124492391264095,True,0.043176781069545145
1,0.1056,0.10669199988245964,0.022399435790234856,0.08633377031143576,0.12705022945348354,True,0.04071645914204779
1,0.1102,0.10579200059175492,0.023801780997365206,0.0841592181287769,0.12742478305473293,True,0.04326556492595603
1,0.1094,0.10578800052404404,0.023557331037312137,0.08437739188954957,0.1271986091585385,True,0.04282121726898894
1,0.101,0.10670800060033798,0.023415798231146586,0.08542602723088916,0.1279899739697868,True,0.04256394673889766
1,0.1084,0.1074719999730587,0.022536859088112066,0.08698887015576115,0.12795512979035625,True,0.040966259634595104
1,0.1056,0.106372000426054,0.022809962820960553,0.08564065415624844,0.12710334669585957,True,0.04146269253961113
1,0.1032,0.10540800049901008,0.02305967755055373,0.08444969539685124,0.12636630560116893,True,0.041916610204317695
1,0.1074,0.10483599975705146,0.022702129906880843,0.08420265984958045,0.12546933966452248,True,0.04126667981494203
1,0.1098,0.10448400050401688,0.023281033826680224,0.08332451078593414,0.1256434902220996,True,0.04231897943616547
1,0.1026,0.10689200058579446,0.02264509497255615,0.08631049815750927,0.12747350301407964,True,0.04116300485657037
1,0.1056,0.10354800000786782,0.023013067800100203,0.08263205722272746,0.12446394279300818,True,0.041831885570280725
1,0.0974,0.10540799975395203,0.02282454658689633,0.08466339870140502,0.12615260080649904,True,0.04148920210509402
1,0.0962,0.10493200033903122,0.023348853650927856,0.08371087105268303,0.1261531296253794,True,0.04244225857269636
1,0.092,0.10448399975895882,0.023485930776477947,0.0831382848528201,0.12582971466509754,True,0.04269142981227744
1,0.095,0.10353200018405914,0.02394448945539359,0.08176951393847356,0.12529448642964472,True,0.043524972491171154
1,0.0946,0.1039560005068779,0.023118071955120875,0.08294462234051449,0.1249673786732413,True,0.04202275633272681
1,0.101,0.10421999976038933,0.022944707345728715,0.08336618790732722,0.12507381161345144,True,0.041707623706124214
1,0.095,0.10424800023436546,0.02368538973905597,0.08272100257681334,0.1257749978919176,True,0.04305399531510426
2,0.0994,0.09659599959850311,0.008271056777689629,0.09157741399551417,0.10161458520149205,True,0.010037171205977885
2,0.092,0.0911960007250309,0.006972114169247927,0.08696556769420401,0.09542643375585778,True,0.008460866061653777
2,0.0902,0.09222000002861024,0.008616008596665042,0.0869921098253791,0.09744789023184137,True,0.010455780406462278
2,0.0898,0.09586399987339973,0.00798031939905268,0.09102182345993708,0.10070617628686239,False,0.009684352826925313
