condition_id,y_true,y_pred,y_std,lower,upper,covered,interval_width
1,0.1128,0.10290400072932243,0.023752938137922373,0.041350998718959815,0.16445700273968505,True,0.12310600402072525
1,0.1056,0.10669199988245964,0.022399435790234856,0.048646443235044766,0.1647375565298745,True,0.11609111329482974
1,0.1102,0.10579200059175492,0.023801780997365206,0.04411242793956183,0.167471573243948,True,0.12335914530438619
1,0.1094,0.10578800052404404,0.023557331037312137,0.04474189177409372,0.16683410927399436,True,0.12209221749990065
1,0.101,0.10670800060033798,0.023415798231146586,0.04602865780800753,0.16738734339266845,True,0.12135868558466092
1,0.1084,0.1074719999730587,0.022536859088112066,0.04907032668519328,0.16587367326092411,True,0.11680334657573083
1,0.1056,0.106372000426054,0.022809962820960553,0.047262610285669096,0.1654813905664389,True,0.1182187802807698
1,0.1032,0.10540800049901008,0.02305967755055373,0.04565150341280586,0.16516449758521431,True,0.11951299417240846
1,0.1074,0.10483599975705146,0.022702129906880843,0.04600604618735903,0.16366595332674388,True,0.11765990713938485
1,0.1098,0.10448400050401688,0.023281033826680224,0.04415388413626081,0.16481411687177294,True,0.12066023273551213
1,0.1026,0.10689200058579446,0.02264509497255615,0.048209846475973636,0.16557415469561526,True,0.11736430821964162
1,0.1056,0.10354800000786782,0.023013067800100203,0.043912286718881005,0.16318371329685463,True,0.11927142657797363
1,0.0974,0.10540799975395203,0.02282454658689633,0.04626081746470742,0.16455518204319664,True,0.11829436457848921
1,0.0962,0.10493200033903122,0.023348853650927856,0.044426136711966956,0.16543786396609547,True,0.12101172725412851
1,0.092,0.10448399975895882,0.023485930776477947,0.043622916557138514,0.16534508296077913,True,0.12172216640364061
1,0.095,0.10353200018405914,0.02394448945539359,0.0414826150079201,0.16558138536019817,True,0.12409877035227806
1,0.0946,0.1039560005068779,0.023118071955120875,0.04404818105032754,0.16386381996342825,True,0.11981563891310071
1,0.101,0.10421999976038933,0.022944707345728715,0.04476143471137708,0.16367856480940157,True,0.11891713009802449
1,0.095,0.10424800023436546,0.02368538973905597,0.04287004211571334,0.16562595835301758,True,0.12275591623730424
2,0.0994,0.09659599959850311,0.008271056777689629,0.07516250907582356,0.11802949012118266,True,0.042866981045359104
2,0.092,0.0911960007250309,0.006972114169247927,0.07312857028824482,0.10926343116181697,True,0.03613486087357215
2,0.0902,0.09222000002861024,0.008616008596665042,0.06989260661764028,0.11454739343958019,True,0.04465478682193991
2,0.0898,0.09586399987339973,0.00798031939905268,0.07518392176428414,0.11654407798251533,True,0.04136015621823119
2,0.0892,0.09166799992322922,0.007954431018599273,0.07105500856880649,0.11228099127765194,True,0.04122598270884545
2,0.094,0.08855600044131279,0.00934231566075477,0.06434646596987839,0.11276553491274718,True,0.04841906894286879
2,0.09,0.08909600064158439,0.008108291182830775,0.0680842984016592,0.11010770288150959,True,0.042023404479850396
2,0.0884,0.08874400019645691,0.008899801690578682,0.06568118968555756,0.11180681070735626,True,0.04612562102179871
2,0.087,0.08698400005698204,0.009233923640694381,0.06305535101496038,0.1109126490990037,True,0.04785729808404332
