condition_id,y_true,y_pred_deterministic,y_pred,y_std,lower,upper,covered,abs_error,interval_width,checkpoint,checkpoint_sha256,fold
2,0.0902,0.09472207,0.094219066,0.005929346,0.08259755,0.105840586,True,0.0040190667,0.02324304,checkpoints/ResNetVibCNN_vib_spec_fold1_repeat0.pt,4b27e0fb28d7d9e82c7c7b59076a5cb090c5e25007b8a637b447656a97864487,1
2,0.0898,0.092538185,0.0907693,0.006694323,0.07764842,0.10389017,True,0.0009692982,0.02624175,checkpoints/ResNetVibCNN_vib_spec_fold1_repeat0.pt,4b27e0fb28d7d9e82c7c7b59076a5cb090c5e25007b8a637b447656a97864487,1
2,0.0892,0.095261686,0.09454393,0.0064756474,0.08185166,0.10723619,True,0.005343929,0.02538453,checkpoints/ResNetVibCNN_vib_spec_fold1_repeat0.pt,4b27e0fb28d7d9e82c7c7b59076a5cb090c5e25007b8a637b447656a97864487,1
2,0.094,0.094308786,0.092822485,0.0057756132,0.08150228,0.10414269,True,0.0011775121,0.022640407,checkpoints/ResNetVibCNN_vib_spec_fold1_repeat0.pt,4b27e0fb28d7d9e82c7c7b59076a5cb090c5e25007b8a637b447656a97864487,1
2,0.09,0.09558756,0.09588721,0.0060422774,0.084044345,0.10773007,True,0.005887203,0.023685724,checkpoints/ResNetVibCNN_vib_spec_fold1_repeat0.pt,4b27e0fb28d7d9e82c7c7b59076a5cb090c5e25007b8a637b447656a97864487,1
2,0.0884,0.09763994,0.09993787,0.008142361,0.08397885,0.115896896,True,0.011537872,0.03191805,checkpoints/ResNetVibCNN_vib_spec_fold1_repeat0.pt,4b27e0fb28d7d9e82c7c7b59076a5cb090c5e25007b8a637b447656a97864487,1
2,0.087,0.09540993,0.09504386,0.0058147213,0.083647005,0.106440715,True,0.008043863,0.02279371,checkpoints/ResNetVibCNN_vib_spec_fold1_repeat0.pt,4b27e0fb28d7d9e82c7c7b59076a5cb090c5e25007b8a637b447656a97864487,1
2,0.0902,0.09499815,0.09587128,0.0048622214,0.08634132,0.10540123,True,0.0056712776,0.019059911,checkpoints/ResNetVibCNN_vib_spec_fold1_repeat0.pt,4b27e0fb28d7d9e82c7c7b59076a5cb090c5e25007b8a637b447656a97864487,1
2,0.08280001,0.09677901,0.09789326,0.0072455266,0.08369203,0.11209449,False,0.015093252,0.028402463,checkpoints/ResNetVibCNN_vib_spec_fold1_repeat0.pt,4b27e0fb28d7d9e82c7c7b59076a5cb090c5e25007b8a637b447656a97864487,1
2,0.0856,0.09687582,0.09726067,0.006533172,0.084455654,0.11006568,True,0.011660665,0.02561003,checkpoints/ResNetVibCNN_vib_spec_fold1_repeat0.pt,4b27e0fb28d7d9e82c7c7b59076a5cb090c5e25007b8a637b447656a97864487,1
2,0.0866,0.094662316,0.09263423,0.0054988177,0.08185655,0.10341191,True,0.0060342327,0.021555364,checkpoints/ResNetVibCNN_vib_spec_fold1_repeat0.pt,4b27e0fb28d7d9e82c7c7b59076a5cb090c5e25007b8a637b447656a97864487,1
2,0.0804,0.09935859,0.100407876,0.0064342096,0.08779682,0.11301893,False,0.020007879,0.025222108,checkpoints/ResNetVibCNN_vib_spec_fold1_repeat0.pt,4b27e0fb28d7d9e82c7c7b59076a5cb090c5e25007b8a637b447656a97864487,1
2,0.0832,0.09446079,0.095021725,0.005666314,0.08391575,0.1061277,False,0.0118217245,0.022211954,checkpoints/ResNetVibCNN_vib_spec_fold1_repeat0.pt,4b27e0fb28d7d9e82c7c7b59076a5cb090c5e25007b8a637b447656a97864487,1
2,0.0872,0.09802991,0.099114485,0.006493274,0.086387664,0.111841306,True,0.011914484,0.025453642,checkpoints/ResNetVibCNN_vib_spec_fold1_repeat0.pt,4b27e0fb28d7d9e82c7c7b59076a5cb090c5e25007b8a637b447656a97864487,1
2,0.084,0.09434831,0.09543459,0.005003746,0.08562725,0.10524193,False,0.011434592,0.019614682,checkpoints/ResNetVibCNN_vib_spec_fold1_repeat0.pt,4b27e0fb28d7d9e82c7c7b59076a5cb090c5e25007b8a637b447656a97864487,1
2,0.0892,0.09503666,0.094702855,0.005303033,0.08430891,0.1050968,True,0.0055028573,0.020787895,checkpoints/ResNetVibCNN_vib_spec_fold1_repeat0.pt,4b27e0fb28d7d9e82c7c7b59076a5cb090c5e25007b8a637b447656a97864487,1
2,0.094,0.09646874,0.09469862,0.00557939,0.08376302,0.10563423,True,0.00069862604,0.02187121,checkpoints/ResNetVibCNN_vib_spec_fold1_repeat0.pt,4b27e0fb28d7d9e82c7c7b59076a5cb090c5e25007b8a637b447656a97864487,1
2,0.0922,0.09340155,0.09363488,0.0074374885,0.0790574,0.10821236,True,0.0014348775,0.029154956,checkpoints/ResNetVibCNN_vib_spec_fold1_repeat0.pt,4b27e0fb28d7d9e82c7c7b59076a5cb090c5e25007b8a637b447656a97864487,1
3,0.1052,0.09337903,0.09390245,0.008913822,0.07643136,0.11137354,True,0.011297554,0.03494218,checkpoints/ResNetVibCNN_vib_spec_fold2_repeat0.pt,02c79639d23d62be130ff2511ad36efab6fae7459a8e8baa4c3e1f02228605ff,2
3,0.1044,0.09144391,0.09354182,0.008431133,0.0770168,0.110066846,True,0.010858178,0.033050045,checkpoints/ResNetVibCNN_vib_spec_fold2_repeat0.pt,02c79639d23d62be130ff2511ad36efab6fae7459a8e8baa4c3e1f02228605ff,2
3,0.0998,0.09058603,0.08990588,0.011453753,0.06745652,0.11235524,True,0.009894118,0.04489872,checkpoints/ResNetVibCNN_vib_spec_fold2_repeat0.pt,02c79639d23d62be130ff2511ad36efab6fae7459a8e8baa4c3e1f02228605ff,2
3,0.1038,0.093204744,0.09279216,0.0077941236,0.07751568,0.108068645,True,0.011007838,0.030552968,checkpoints/ResNetVibCNN_vib_spec_fold2_repeat0.pt,02c79639d23d62be130ff2511ad36efab6fae7459a8e8baa4c3e1f02228605ff,2
3,0.0998,0.09213457,0.09445753,0.009358794,0.07611429,0.11280077,True,0.0053424686,0.03668648,checkpoints/ResNetVibCNN_vib_spec_fold2_repeat0.pt,02c79639d23d62be130ff2511ad36efab6fae7459a8e8baa4c3e1f02228605ff,2
3,0.1012,0.09195747,0.09204915,0.008401339,0.07558253,0.10851578,True,0.009150848,0.03293325,checkpoints/ResNetVibCNN_vib_spec_fold2_repeat0.pt,02c79639d23d62be130ff2511ad36efab6fae7459a8e8baa4c3e1f02228605ff,2
3,0.0964,0.09219724,0.09082635,0.010416135,0.07041072,0.111241974,True,0.0055736527,0.040831253,checkpoints/ResNetVibCNN_vib_spec_fold2_repeat0.pt,02c79639d23d62be130ff2511ad36efab6fae7459a8e8baa4c3e1f02228605ff,2
3,0.0988,0.09074898,0.08966133,0.008890418,0.072236106,0.107086554,True,0.009138674,0.03485045,checkpoints/ResNetVibCNN_vib_spec_fold2_repeat0.pt,02c79639d23d62be130ff2511ad36efab6fae7459a8e8baa4c3e1f02228605ff,2
3,0.0928,0.091872215,0.090854734,0.009609971,0.07201919,0.10969028,True,0.0019452646,0.03767109,checkpoints/ResNetVibCNN_vib_spec_fold2_repeat0.pt,02c79639d23d62be130ff2511ad36efab6fae7459a8e8baa4c3e1f02228605ff,2
3,0.0952,0.091704756,0.09342147,0.00795408,0.07783147,0.109011464,True,0.0017785355,0.031179994,checkpoints/ResNetVibCNN_vib_spec_fold2_repeat0.pt,02c79639d23d62be130ff2511ad36efab6fae7459a8e8baa4c3e1f02228605ff,2
3,0.0904,0.09081117,0.09161567,0.009899748,0.07221216,0.11101918,True,0.0012156665,0.03880702,checkpoints/ResNetVibCNN_vib_spec_fold2_repeat0.pt,02c79639d23d62be130ff2511ad36efab6fae7459a8e8baa4c3e1f02228605ff,2
3,0.081,0.091590285,0.08998776,0.00863027,0.07307243,0.10690309,True,0.008987762,0.033830658,checkpoints/ResNetVibCNN_vib_spec_fold2_repeat0.pt,02c79639d23d62be130ff2511ad36efab6fae7459a8e8baa4c3e1f02228605ff,2
3,0.0886,0.09142739,0.09133155,0.008231021,0.07519875,0.10746435,True,0.0027315468,0.032265604,checkpoints/ResNetVibCNN_vib_spec_fold2_repeat0.pt,02c79639d23d62be130ff2511ad36efab6fae7459a8e8baa4c3e1f02228605ff,2
