fold,repeat,condition_id,y_true,y_pred,y_std,lower,upper,covered,abs_error,interval_width
0,0,1,0.1128000020980835,-0.16180454315992837,0.1296878464517707,-0.41599272220539896,0.09238363588554221,False,0.27460454525801187,0.5083763580909412
0,0,1,0.10559999942779541,-0.13321235914921725,0.11918885658813948,-0.36682251806197064,0.10039779976353613,False,0.23881235857701266,0.46722031782550677
0,0,1,0.11020000278949738,-0.14278085302751153,0.11972667798141175,-0.3774451418710786,0.09188343581605549,False,0.2529808558170089,0.4693285776871341
0,0,1,0.10939999669790268,-0.11785476347265134,0.13313675387110466,-0.37880280106001646,0.1430932741147138,True,0.22725476017055402,0.5218960751747302
0,0,1,0.10100000351667404,-0.1501402424835709,0.11952113529466603,-0.38440166766111633,0.0841211826939745,False,0.251140246000245,0.46852285035509084
0,0,1,0.10840000212192535,-0.12590412993386127,0.13452963555982245,-0.3895822156311133,0.13777395576339072,True,0.23430413205578662,0.527356171394504
0,0,1,0.10559999942779541,-0.169913082797481,0.12141868109037059,-0.4078936977346074,0.06806753213964536,False,0.2755130822252764,0.4759612298742527
0,0,1,0.10320000350475311,-0.13138770145981618,0.12402664549867891,-0.37447992663722685,0.11170452371759448,True,0.2345877049645693,0.48618445035482133
0,0,1,0.10740000009536743,-0.1369673263460978,0.13966721042784136,-0.41071505878466685,0.13678040609247125,True,0.24436732644146522,0.5474954648771381
0,0,1,0.10980000346899033,-0.12949791520448176,0.12206739788822278,-0.3687500150653984,0.10975418465643488,False,0.23929791867347208,0.4785041997218333
0,0,1,0.10260000079870224,-0.14748099407725565,0.11951682355453895,-0.38173396824415196,0.08677198008964068,False,0.2500809948759579,0.46850594833379267
0,0,1,0.10559999942779541,-0.14604863512741317,0.12941676966768945,-0.3997055036760845,0.10760823342125814,True,0.2516486345552086,0.5073137370973426
0,0,1,0.09740000218153,-0.15265581082611113,0.1304155293138697,-0.40827024828129577,0.10295862662907351,True,0.2500558130076411,0.5112288749103693
0,0,1,0.09619999676942825,-0.1432259201098543,0.12830507793299653,-0.3947038728585275,0.10825203263881888,True,0.23942591687928255,0.5029559054973464
0,0,1,0.09200000017881393,-0.16098001796152786,0.13548000166047755,-0.42652082121606383,0.10456078529300813,True,0.25298001814034177,0.531081606509072
0,0,1,0.0949999988079071,-0.1500554237998046,0.12795325767997967,-0.40084380885256476,0.10073296125295553,True,0.2450554226077117,0.5015767701055203
0,0,1,0.09459999948740005,-0.14372295038534014,0.13231547315644088,-0.4030612777719642,0.11561537700128396,True,0.2383229498727402,0.5186766547732482
0,0,1,0.10100000351667404,-0.13303044654056884,0.12951785293603552,-0.38688543829519845,0.12082454521406077,True,0.23403045005724288,0.5077099835092592
0,0,1,0.0949999988079071,-0.14689132789374365,0.1222175205046639,-0.38643766808288493,0.0926550122953976,False,0.24189132670165076,0.47909268037828256
1,0,2,0.09939999878406525,-0.40457714269675243,0.11202283612491483,-0.6241419015015854,-0.18501238389191937,False,0.5039771414808176,0.43912951760966606
1,0,2,0.09200000017881393,-0.38135743280756,0.10547163114965616,-0.5880818298608861,-0.17463303575423395,False,0.47335743298637395,0.41344879410665214
1,0,2,0.09019999951124191,-0.4028544665360899,0.10864758749792824,-0.6158037380320293,-0.18990519504015055,False,0.49305446604733183,0.4258985429918787
1,0,2,0.08980000019073486,-0.4217960113298871,0.11586016497821729,-0.648881934687193,-0.19471008797258121,False,0.511596011520622,0.4541718467146118
1,0,2,0.08919999748468399,-0.40025399729106403,0.11085674716527788,-0.6175332217350087,-0.18297477284711938,False,0.489453994775748,0.4345584488878893
