condition_id,y_true,y_pred,y_std,lower,upper,covered,abs_error,interval_width,fold
1,0.1128,0.10586032,0.0066872216,0.092753366,0.11896728,True,0.0069396794,0.026213914,0
1,0.1056,0.10075011,0.005618883,0.0897371,0.11176312,True,0.0048498884,0.022026017,0
1,0.1102,0.09794,0.0063612475,0.08547195,0.110408045,True,0.012260005,0.024936095,0
1,0.1094,0.09643357,0.0059520416,0.08476757,0.10809957,False,0.012966424,0.023332,0
1,0.101,0.10769222,0.006455206,0.095040016,0.12034442,True,0.006692216,0.025304407,0
1,0.1084,0.099982694,0.006050704,0.088123314,0.11184207,True,0.008417308,0.02371876,0
1,0.1056,0.098286666,0.0050827316,0.08832451,0.10824882,True,0.0073133335,0.019924313,0
1,0.1032,0.101302475,0.0042582634,0.092956275,0.109648675,True,0.0018975288,0.0166924,0
1,0.1074,0.0954049,0.0059310733,0.08378,0.1070298,False,0.0119950995,0.023249805,0
1,0.1098,0.099613905,0.0052616084,0.089301154,0.109926656,True,0.0101860985,0.020625502,0
1,0.1026,0.12236496,0.010412632,0.1019562,0.14277372,True,0.01976496,0.040817514,0
1,0.1056,0.097441606,0.00595065,0.08577833,0.10910488,True,0.008158393,0.023326546,0
1,0.0974,0.09232018,0.006909765,0.078777045,0.10586332,True,0.0050798208,0.027086273,0
1,0.0962,0.09661832,0.004691398,0.087423176,0.10581346,True,0.0004183203,0.018390283,0
1,0.092,0.092294864,0.0062584076,0.080028385,0.104561344,True,0.00029486418,0.024532959,0
1,0.095,0.09177569,0.0060119163,0.07999234,0.10355905,True,0.0032243058,0.023566708,0
1,0.0946,0.1126725,0.009628803,0.093800046,0.13154495,True,0.0180725,0.037744902,0
1,0.101,0.09502718,0.006078195,0.083113916,0.10694044,True,0.005972825,0.023826525,0
1,0.095,0.09076221,0.006487235,0.07804723,0.103477195,True,0.004237786,0.025429964,0
2,0.0994,0.09165613,0.009767257,0.07251231,0.11079995,True,0.0077438653,0.03828764,1
2,0.092,0.093374014,0.0085090175,0.076696336,0.11005169,True,0.0013740137,0.033355355,1
2,0.0902,0.092957355,0.007996271,0.077284664,0.108630046,True,0.0027573556,0.031345382,1
2,0.0898,0.09460765,0.008751199,0.0774553,0.111760005,True,0.004807651,0.03430471,1
2,0.0892,0.09430404,0.007442914,0.07971593,0.10889215,True,0.0051040426,0.02917622,1
2,0.094,0.09210112,0.0073603936,0.07767475,0.10652749,True,0.0018988773,0.028852746,1
2,0.09,0.09883982,0.0077919965,0.08356751,0.11411213,True,0.008839816,0.030544624,1
2,0.0884,0.09778636,0.0068030795,0.08445232,0.111120395,True,0.009386361,0.026668072,1
2,0.087,0.094620354,0.0070531704,0.08079614,0.10844457,True,0.007620357,0.027648434,1
2,0.0902,0.096977,0.008105512,0.0810902,0.11286381,True,0.0067770034,0.031773612,1
2,0.08280001,0.096596174,0.008629284,0.079682775,0.11350957,True,0.013796166,0.0338268,1
2,0.0856,0.09849524,0.008080703,0.08265706,0.11433341,True,0.012895234,0.031676352,1
2,0.0866,0.09412835,0.007978098,0.07849128,0.10976542,True,0.0075283498,0.03127414,1
2,0.0804,0.0991033,0.0064478605,0.08646549,0.11174111,False,0.018703304,0.025275618,1
2,0.0832,0.09690855,0.006551087,0.08406842,0.10974868,False,0.013708547,0.025680259,1
2,0.0872,0.1025029,0.006786293,0.08920176,0.11580403,False,0.0153028965,0.026602268,1
2,0.084,0.09753446,0.007715427,0.08241223,0.1126567,True,0.013534464,0.03024447,1
2,0.0892,0.09323846,0.008618605,0.076345995,0.11013092,True,0.0040384606,0.033784926,1
2,0.094,0.094824895,0.0075785383,0.079970956,0.109678835,True,0.0008248985,0.029707879,1
2,0.0922,0.09156706,0.008323711,0.075252585,0.10788154,True,0.0006329417,0.032628953,1
3,0.1052,0.19074371,0.020756729,0.15006052,0.23142691,False,0.085543714,0.08136639,2
3,0.1044,0.13590118,0.0115678245,0.11322825,0.15857412,False,0.03150118,0.045345873,2
3,0.0998,0.12475202,0.008990851,0.107129954,0.1423741,False,0.024952024,0.035244144,2
3,0.1038,0.13787435,0.012701099,0.112980194,0.1627685,False,0.03407435,0.049788304,2
3,0.0998,0.13450624,0.011927004,0.11112931,0.15788317,False,0.034706242,0.046753854,2
3,0.1012,0.11254902,0.0071125124,0.098608494,0.12648955,True,0.011349022,0.027881056,2
3,0.0964,0.10684391,0.005895804,0.095288135,0.11839969,True,0.010443911,0.023111552,2
3,0.0988,0.100550026,0.0061566713,0.088482946,0.112617105,True,0.0017500222,0.02413416,2
3,0.0928,0.101247914,0.0068825004,0.08775821,0.114737615,True,0.008447915,0.026979402,2
3,0.0952,0.10507891,0.0064943186,0.09235005,0.117807776,True,0.009878911,0.025457725,2
3,0.0904,0.10867603,0.0058400636,0.09722951,0.12012255,False,0.018276028,0.022893041,2
3,0.081,0.10282101,0.0072805732,0.08855108,0.11709093,False,0.021821007,0.028539851,2
3,0.0886,0.09909176,0.006199836,0.08694008,0.11124344,True,0.010491759,0.024303362,2
3,0.0864,0.09954991,0.00605624,0.087679684,0.11142014,False,0.01314991,0.023740456,2
3,0.0794,0.09869335,0.006919937,0.085130274,0.11225642,False,0.019293346,0.027126148,2
3,0.0756,0.09855196,0.0067991293,0.085225664,0.11187825,False,0.02295196,0.02665259,2
3,0.0774,0.099102326,0.0059369258,0.08746595,0.1107387,False,0.021702327,0.023272753,2
3,0.0812,0.09942328,0.0056051128,0.08843726,0.110409304,False,0.018223278,0.021972045,2
3,0.0748,0.09916746,0.0067349668,0.08596692,0.112367995,False,0.02436746,0.026401073,2
3,0.0816,0.10027101,0.0059077186,0.08869188,0.111850135,False,0.018671006,0.023158252,2
4,0.119,0.09350627,0.009330456,0.07521857,0.111793965,False,0.025493734,0.036575392,3
4,0.1162,0.09448982,0.012026542,0.0709178,0.11806184,True,0.02171018,0.04714404,3
4,0.106,0.0915438,0.010157408,0.071635276,0.111452326,True,0.014456198,0.03981705,3
4,0.1104,0.09685197,0.011611181,0.07409405,0.119609885,True,0.013548031,0.045515835,3
4,0.1072,0.08943714,0.012989256,0.0639782,0.11489608,True,0.017762855,0.05091788,3
4,0.0988,0.08739784,0.012563142,0.062774085,0.1120216,True,0.01140216,0.04924752,3
4,0.0946,0.09156058,0.013019416,0.06604253,0.11707863,True,0.0030394197,0.051036105,3
4,0.0958,0.0937548,0.014542759,0.06525099,0.1222586,True,0.0020451993,0.05700761,3
4,0.0982,0.09214269,0.01352762,0.06562856,0.11865683,True,0.006057307,0.05302827,3
4,0.0922,0.093108356,0.013792243,0.06607556,0.12014115,True,0.00090835243,0.054065585,3
4,0.0908,0.098968744,0.010036737,0.07929674,0.11864075,True,0.008168742,0.039344013,3
4,0.087,0.09368716,0.010353049,0.073395185,0.11397914,True,0.0066871643,0.040583953,3
4,0.0816,0.0940875,0.011402408,0.07173878,0.11643621,True,0.012487493,0.044697434,3
4,0.0914,0.098203346,0.012447345,0.07380655,0.122600146,True,0.0068033487,0.0487936,3
4,0.088,0.09493679,0.010820615,0.07372838,0.11614519,True,0.0069367886,0.04241681,3
4,0.0848,0.09067964,0.012470599,0.06623726,0.11512201,True,0.0058796406,0.04888475,3
4,0.092,0.09179801,0.011221091,0.06980467,0.11379135,True,0.00020199269,0.043986678,3
4,0.0914,0.09007514,0.011490692,0.067553386,0.1125969,True,0.0013248548,0.045043513,3
4,0.0858,0.0948319,0.0129411565,0.06946723,0.120196566,True,0.009031899,0.050729334,3
4,0.0812,0.09619917,0.0140847955,0.068592966,0.123805374,True,0.014999166,0.05521241,3
5,0.1086,0.08636048,0.0145262,0.057889126,0.11483183,True,0.022239521,0.0569427,4
5,0.1066,0.092086226,0.013388472,0.06584482,0.11832763,True,0.014513776,0.052482814,4
5,0.1068,0.086342916,0.01411734,0.058672927,0.114012904,True,0.020457081,0.055339977,4
5,0.1016,0.08655724,0.016085062,0.055030517,0.11808396,True,0.0150427595,0.063053444,4
5,0.09,0.09015182,0.014574692,0.06158542,0.118718214,True,0.00015181303,0.057132795,4
5,0.0954,0.0895308,0.013566904,0.06293967,0.11612193,True,0.005869195,0.05318226,4
5,0.093,0.08666291,0.018873109,0.049671616,0.1236542,True,0.0063370913,0.07398258,4
5,0.0904,0.09135732,0.013752321,0.064402774,0.11831187,True,0.00095731765,0.053909093,4
5,0.097,0.08828374,0.016524015,0.05589667,0.12067081,True,0.008716263,0.06477414,4
5,0.0952,0.08789504,0.015083567,0.05833125,0.117458835,True,0.007304959,0.059127584,4
5,0.0954,0.09353286,0.01361803,0.06684152,0.1202242,True,0.0018671378,0.05338268,4
5,0.1036,0.085414216,0.019034874,0.048105862,0.122722566,True,0.018185787,0.0746167,4
5,0.098,0.08989357,0.014754096,0.060975544,0.1188116,True,0.008106425,0.057836056,4
5,0.0926,0.0844963,0.014281282,0.056504983,0.112487614,True,0.008103706,0.05598263,4
5,0.093,0.089765854,0.014789598,0.06077824,0.11875346,True,0.003234148,0.05797522,4
